khach_cmt,rating,shop_phan_hoi
lần trước đawtj hai chiếc mac lại giao một chiếc hic jshs hdhshsh,2,nan
"quần mới mặc 1 tiếng bị sức dây tia rồi , vải mỏng dễ bị xước lắm nha mọi người 😔",2,nan
"quần ngủ nam mà lại 1 túi quần vải bóng màu tím, 1 túi vải thô màu ghi. may kiểu nhặt nhạnh à? và định chơi đểu khách hàng ?",2,nan
vua giat đã bi xù.quan dễ bãm bụi chât vải k đep.quan nay đang 50k thoi,2,nan
chả hiểu quần áo có cái gì mà mang đi giặt xong tay bị ngứa rồi phồng rộp lên,2,nan
"chỉ thừa nhiều , chất tạm ổn nma mỏng quá ,như đồ xuyên thấu ý ống bo mà chẳng co giãn tí nào so với giá thì tạm được",2,nan
"size xl ghi 63-69kg mà e mình 62kg mặc chật ko kéo lên nổi, chất mỏng ko dày lắm mà còn bị vặn ống lệch đi :)",2,nan
"chất vải cũng bình thg nhưng bực mình nhất là túi quần may vải bị thiếu nên thành ra túi quần thủng, chót bấm đã nhận dc hàng rồi nên ko đổi trả dc. form nhỏ nên lấy lên 1 size. giờ đành ngồi khâu tay cái túi quần vậy.",2,nan
"hình ảnh và video chỉ mang tính chất nhận xu, quần mua về ck mình k mặc đc lúc mặc vào chỗ bo chân rất là khó vào mặc dù ck mình 68kg thui , đường may k chắc chắn nhiều chỉ thừa",2,nan
"chất lượng phù hợp với giá tiền ,giá cả hợp lí đóng gói hàng chắc chắn",2,nan
"đặt sọc đen thì đi giao hẳn 2 sọc trắng, hết thì cũng nên báo khách dây quần thì đứt còn đi cột lại sơ sài. shop quá tệ. may còn vớt lại đc chất vải, form quần ko tới nỗi.",2,"xin lỗi ac về sự cố k mong muốn, có thể do ngày sale bên shop quá tải đơn nên các bạn nhân viên đóng hàng nhầm mẫu cho ac, sp nào có lỗi ac có thể chat với shop để shop hỗ trợ đổi hàng cho ac ạ!"
giặt 1 lần bung hết chỉ ra . phải ngồi khâu lại cả quần. huhu. ,2,nan
