,khach_cmt,rating,shop_phan_hoi
0,"Gửi sai mẫu 😡😡😡 nhưng chất vải được, nên tạm chấp nhận........ vì giận quá nên không chụp lại ảnh đăng tạm ảnh trong máy đừng ai chửi em nhé :))",4,
1,"Giày nhận như hình, nhưng lớp da màu trắng hơi nhăn không cưng",4,
2,Sản phẩm giống như hình vẽ và giao rất nhanh hơn cả món mình đặt trước,4,
3,"Giày không phản quang như mô tả, size đúng nhe bảng size của shop",4,
4,"Giày rất đẹp nha, mẫu cũng rất giống hình với lại giao hàng nhanh nữa, nói chung là rất đáng tiền ",4,
5,Hàng cũng ok. Nhưng hơi rộng. Mình lấy số 42 mà shop gửi số 43 hay sao ấy. Lại còn cạo cái số đằng sau số 4 đi để k nhìn đx cỡ :((. Nhưng thôi cũng tạm,4,
6,"Giao hàng nhanh, shop phục vụ tận tình chu đáo, nói chung là quá okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkokkkkkkkkkkokkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",4,
7,Đóng gói sp còn hơi tệ làm giày biến dang...nên kĩ vè khâu đóng gói sp nhé shop ,4,
8,"sản phẩm cũng khá ổn nha mn 
Giao hàng siêu nhanh luôn
Giày hơi to",4,
9,Mua 1 đôi trước thì cỡ 43 đi vừa. Mua thêm đôi này thì 43 lại ko đi vừa,4,
10,"ae nen mua size bé hơn size mk đi nhé.hhjjjhgggvbbb,shiper như lồn",4,
11,Hơi chật so với form giày của mình. ,4,
12,Giầy có thêm hộp đựng riêng là ok rồi😅,4,
13,_Đặt màu đen mà giao màu trắng ạ:((((😭😭😭,4,
14,Buồn thật chứ sp chỉ được 70% như hình thôi còn 30% nhìn không được giống hình shop bán sp này cũng tạm ổn nếu giặt giũ nhiều lần sẽ bị bung ra nhìn kiểu dáng ntn thì nhưng thôi tiền nào của nấy vậy cho shop 4*,4,
15,,4,
16,Hjjzjsjjsusisjwwjwjjwkwnsnsbsbsnsnsnsnnsnsksishwehheuuu,4,
17,Chìheedcjiitdeerghiiihfrdvhjuuynmiytedghiigbjkudswfjjjbbbgffh,4,
18,"Đóng gói k cẩn thận, giày bị mất form. Tiền nào của nấy ạ. 
Giao hàng nhanh",4,
19,Đã nhận hàng giao hơi lâu xíu mà dày đẹp có méo móm do đóng hàng nhưng mà cũng ưng ý  sẽ ủng hộ shop tiếp,4,
20,"- thời gian bên vận chuyển đến lấy hàng thì hơi lâu nên hơi khó chịu
- mình mang size 43 là thỏa mái nhưng giày này lại vừa khít
- giày đẹp, giao đúng size
Đánh giá 5* nhưng bực thời gian giao nhà vận chuyển lâu, mình phải nhắn tin hối  nên cho 4*",4,
21,"Giày hơi móp do vận chuyển và bung 1 đường chỉ. Còn lại thì ổn. Đi vừa chân , kiểu dáng đẹp",4,
22,"giao hàng nhanh, chất lượng giày ok với giá thành
giày k có box, gói hàng tệ nên bị móp",4,
23,Giày đẹp. Shop giao đúng mẫu như hình. Tuy nhiên chỉ có đóng gói là mình thấy chưa được. Sao shop không bỏ vào trong hộp mà bỏ vào bì kiểu vậy là móp giày hết. Mong shop rút kinh nghiệm lần sau ,4,
24,"Chờ shop rep hết cả thanh xuân😩 chất lượng sp tốt y hình, giao hàng nhanh. Nếu có size nữ thì tốt quá",4,
25,Mk hơi thất vọng về shop xíu rõ ràng là mk đặt màu đen nhưng shop lại giao màu trắng 🙂🙂 nhưng giày cx đẹp nha mn,4,
26,"giày chất lượng, nhưng shop thì mình cho 4 sao, đặt 2 đôi vớ giao 1 đôi, SHOP NÊN NHÌN KỸ ĐƠN HÀNG",4,
27,"Hàng bao đẹp chất lượng tuyệt, giao nhanh nhưng lại giao sai mẫu mình hơi tiếc nên cho tạm 4*",4,
28,Phản quảng qua lest tốt nhưng qua mắt nhìn thì không đc tốt lắm dao hàng nhanh ưng ý cho 4*,4,
29,Đóng gói sp hộp bị méo mó.  giày đúng trong mẫu giá rẻ so với nơi khác ,4,
30,Giày đẹp. Shop Giao hàng nhanh. Đóng gói hàng cẩn thận chất lượng ,4,
31,"Hàng ok trong tầm gia, 5 sao. Giao hàng lâu 5 ngày mới nhận được, 3 sao. Tong ket 4 sao.",4,
32,"Giao hàng nhanh, gói hàng cẩn thận, giày đẹp mỗi tội tưởng màu trắng tinh giao hoá trắng sữa",4,
33,Giày khá ok giống hình. Form hơi méo đó vận chuyển nhưng với tầm giá thì ok. ,4,
34,"Chất lượng sản phầm phù hợp với giá tiền
Hơi trật so với size thông thường nên chọn size nên tăng lên 1 size",4,
35,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,4,
36,Mình đặt màu đen nhưng shop lại giao màu trắng mùi giày hơi kinh nhưng nhìn chung với giá này thì khá hài lòng,4,
37,Đặt mua màu đen mà khi nhận hang lại là màu trắng nhưng đc cái là sp cũng ok,4,
38,Giày ok,4,
39,"Sản phẩm chất lượng tốt nên mua nha mọi người,..............",4,
40,"Giày cũng ok, thiết kế đẹp nhưng nhìn đường may thì ko chắc chắn lắm, chất lượng cũng ko cao nhưng phù hợp với giá tiền, shop cũng ko thân thiện lắm nên 4 sao",4,
