,khach_cmt,rating,shop_phan_hoi
0,"Ngắn quá, chỉ hợp với nữ",3,cảm ơn bạn đã đánh giá. sản phẩm bên mình là tất cổ ngắn nhé bạn
1,"Đặt 14 đôi đen, giao 10 trắng 4 xám bảo nv soạn sai, giao 2 màu là cố ý vì ai đi đổi trả tất mất công
Bảo giúp đánh giá 5 sao r cho mã giảm 20k đơn mua sau, mà lúc hỏi định mua 2 bộ đồ hơn 300k nữa thì bảo áp mã giảm của shop 20k đơn từ 299k vốn dĩ shop đã cho tất cả mọi Ng thì có khác gì đâu ",1,bên mình có giảm giá 20k cho đơn hàng tiếp theo bạn nhé
2,Mặc thoải mái. Chất vải mặc không sang lắm. Thích hợp ai vận động nhiều. Hơi thất vọng với video với hình.,3,"Dạ cảm ơn bạn đã mua hàng và ủng hộ shop ạ. Shop rất rất tiếc về những trải nghiệm không vui của bạn. Mọi thắc mắc về sản phẩm cũng như chất lượng dịch vụ bạn đừng vội đánh giá ạ, hãy liên hệ shop để giải đáp thắc mắc cũng như chất lượng cho bạn ạ. Cảm ơn bạn đã quan tâm và sử dụng sản phẩm của shop. Chúc bạn một ngày vui vẻ ❤️"
3,Quần mỏng,3,"Dạ quần vải tuyết mưa nên vải vừa đủ dày và có độ nhẹ, mềm mịn thoáng mát như này chứ không phải vải mỏng đâu ạ. Tất cả khách hàng shop mua quần này đều khen và có nhiều khách đặt lần 2 và giới thiệu bạn mua nhiều nữa ấy ạ"
4,,3,
5,,2,Dạ bạn có vấn đề gì không hài lòng với áo của shop ạ? Mong bạn góp ý để shop hoàn thiện hơn nữa sản phẩm của mình ạ. Vì trước giờ khách của shop đặt hàng nhiều nhưng chưa khách nào phản hồi thấp về áo của shop ấy ạ hihi
6,quần mõngg lắm á mdeng3jzbdhehebz beu3i2owknzvxgwui2i2oqn,3,TILAA xin cảm ơn anh đã tin tưởng và sử dụng sản phẩm của bên em. Còn điều khiến anh chị chưa hài lòng. TILAA rất sẵn lòng lắng nghe và thay đổi mình check inbox giúp em ạ
7,"mn không nên mua shop này nhe. làm ăn dối lừa khách hàng. đặt size M mà giao hàng thì bên ngoài ghi size m bên trong là size L mà bảo đổi thì shop nói là sẽ đổi mà từ ngày 24/11 đến 17/12 vẫn chưa nhận được . nhắn tin không trả lời luôn , shop rep khi các bạn chưa đánh giá , đánh giá r thì nó im re.",1,
8,"Giao hàng nhanh .3 ngày là có .Fom quần k dc đẹp 
Đóng gói k cẩn thận .Nên cho 1 sao
Hình ảnh chỉ mang tính chất lấy xu 👌",3,
9,"bruh bruh lmao lmao , good job , good job mlem mlem aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",3,
10,"Shop rất chu đáo trong việc tư vấn.Nhưng mà mình thấy quần thật sự không đẹp lắm,lúc đầu thì mặc lên cũng oke dù chất hơi nóng,nhưng sau 1 buổi (mới chỉ một buổi nha) đi học (tất nhiên phải đi lại đứng ngồi các kiểu) thì ở phần đầu gối bị dão ra nhìn form xấu cực.Ảnh cuối là lúc đi học về(m66-55kg).",3,
11,Đồ đẹp mà mình thấy cũng rẻ hơn mấy shop khác. Mình mua còn được shop tặng vớ + viết + sticker nữa. Quần mình mua nhầm size nên hơi tiếc.,3,"Dạ shop cũng thật tiếc quần mặc bị rộng ạ
Shop đã nhắn tin và hướng dẫn đổi size hỗ trợ phí ship cho bạn rùi ạ
Dạ rất mong lần tới tiếp tục được bạn ủng hộ shop ạ!"
12,"Shop gợi ý mình size M nhưng về vẫn ngắn 1m7 dù mình thấy đánh giá các bạn khác thấy còn xoắn lên đc 2,3 nấc, ko biết doo  mình mua  sp này bằng voucher còn có 48k à, nên shop đưa hàng ..... Cho mình hơi thất vọng tí vì mình m lần này là lần 2!!!!",3,
13,"Quần đen xấu thật sự, quần thì rộng mình không mặc đc nên vứt
Còn cái kia thì đẹp",3,
14,Vài mỏng xù tung mặc một buổi mà nhìn như quần củ 1-2 năm tệ không đáng mua,3,
15,Quần đc vải hơi nhăn mà chắc là lại là ok hóng hàng về chắc cổ dài 2m lun(hàng khác ) còn hàng shop về nhanh lắm 2 ngày là về r mà chất k đc ưng ý cho lắm k phải kaki hoàn toán mà giống quần vải hơn é,3,
16,chỉ thừa + dễ rách đáy quần mặc vào mới ngồi có tí đã thấy bung chỉ,3,
17,"Mình không có ảnh trực tiếp để đánh giá .
Nhưng vải Khá mỏng .chỉ cũng thừa ra hơi nhiều 
Hàng cũng tạm gọi là ổn!
Nói chung tiền nào của nấy 
Cũng đáng để thử nha mọi người !!!!",3,
18,Quần tạm đường may chưa chắc chắn hình ảnh chỉ mang tính chất minh họa vì.lười chụp ...,3,
19,"Tạm được vì nhìn quần hơi bình thường, vải hơi mỏng.",3,
20,quần chất siêu đẹp màu cx chuẩn :)) mặc dù mình đặt size XL mà như 3xl rất rộng và dễ chịu :)) cơ mà đường chỉ may quần ko chắc nên đã rách mất ròi :) hơi tiếc mong sp chất lượng hơn nữa ạ,3,"Dạ shop rất xin lỗi vì lỗi này của sản phẩm ạ
Shop cũng rất cảm ơn bạn đã góp ý cho shop cải thiện chất lượng sản phẩm hơn nữa ạ
Dạ về vấn đề đường may shop đã chỉnh lại bên sản xuất may lại kỹ đường may để không bị đứt chỉ và cho may lại các sản phẩm đã sản xuất ra rùi ạ
Với quần bạn mặc bị rộng dài shop liên hệ với bạn để đổi size cho bạn nhé!"
21,Mình mua lần 2 ở đây vì chất khá ok nhưng lần này size L to như XL. To rộng dài hơn lần trước mình mua. Chán ,3,
22,Quần đẹp nhưng mà mới mặc lần đầu tiên đã bị nhăn hết rồi.......,3,
23,"How to pronounce MENU? 
It's pronounced ME  N  U 🤣🤣
How to pronounce MENU? 
It's pronounced ME  N  U 🤣🤣",3,
24,Mình 1m53 47kg bt mặc size S-M.nhưng quần này size S mặc k đk. Phải sửa rất nhiều.quần quá to và dài.nam chắc mặc ok hơn.bạn nữ nào nhỏ thì k nên mua.chất vải thì ok,3,
25,Quần rẻ nhưng làm mk hơi thất vọng quần có mùi rất hôi dáng cx không đc đẹp nói chung tạm ổn,3,
26,Quần không được đẹp như hình. Ck m kêu k mặc. Chủ shop nhiệt tình tư vấn.,3,"Dạ shop cũng tư vấn size nhưng cũng thật tiếc anh mặc không được ưng ạ
Shop cũng đã liên hệ với bạn để thu hồi sản phẩm hoàn lại tiền cho bạn rùi ạ"
27,Quần khá đẹp . Mặc thoải mái nhưng mà bị rách nguyên cái lỗ như này =)) ,3,
28,"quần nhăn lắm luôn á =(( màu đen nhăn nhăn kiểu gì ấy mhinf xấu dữ lắm, ncl tiền nào của nấy th á mng",3,
