khach_cmt,rating,shop_phan_hoi
"NHÌN giống giày Nữ quá đi Hơi không thích.
chất Lượng sản phẩm ok.
đóng gói sản phẩm tạm được.
shop phục vụ rất tốt.
giá cả chấp Nhận được.
thời gian giao Hàng rất Nhanh 2 Ngày Nhận được Luôn
ZALO: 0888.36.9993
0369.369.550
070.4494.666",3,
Sp ổn đẹp nhưng dán keo lỗi,3,
"Shop đóng gói cẩu thả, không có hộp đựng. Vài chỗ thì may lỗi. Nhưng nói chung hàng khá đẹp phù hợp với giá tiền bỏ ra.",3,
Giày đẹp nhưng giao hàng ko chuyên nghiệp,3,
"Giày nhìn ok nhưng dây giày ngắn, gia mang dễ bị rách 🥲",3,
"Chất lượng khá ổn áp nhưng đóng gói k cẩn thận
Giày da mà bỏ vào bịch mỏng dính rồi dán băng keo trông hơi nhăn nhúm",3,
Chất lượng sp bình thường đi một lần đã bật hết keo  za ko lên mua,3,
Size 40 nhưng mà to hơn so vs giày khác .kiểu như mình đặt 40 mà nhận giày size 41v còn sảm phẩm thì ok r .chỉ size hơi rộng,3,
K đúng như hình lại còn gửi sai mẫu,3,
Giày quá rộng sz 41 mà chân 43 đi vừa,3,
Bị lỗi ở đế  giao hàng nhanh,3,
Giày mink mua size 38 mà rộng cứ như 40 ý,3,
Dây giầy quá ngắn,3,
cũng oki phết,3,
Đế cứ đi đau chân,3,
Nhin cung tam dk,3,
Phía gót giày hơi nhỏ,3,
Ủa j vậy shop sao đế lại như này gdhfhdhdjkdjjdjdndjfbfbbfvvhhhchchf,2,
Hangf thif cũng ok.Shop k tư vấn gì.ib thì k rep.quá kém phần dịch vụ ng bán.,2,
"Giầy giao tới trầy xước quá lúc phản hồi shop, thì shop nói giao rồi k phản hồi",2,
"Giày bị lỗi ở phần mui giày, trong ảnh không có dây mà khi mua về lại có dây ở mui giày",2,
Gói hàng kém chất luong qua,2,
Dây hơi ngắn với lại đóng gói sơ sài,2,
Như b mọi người đừng mua,2,
"Sản phẩm không giống như hình,quá thất vọng về sản phẩm,quá chán.",1,
"Ko đúng như hình ảnh đăng bán trên shop, đăng hình lừa người, chất lượng kém",1,
Quá Buồn shop luôn giao giầy kiểu gì mà sizi 38 mà to quá trời đất hết sizi thì báo lại cho mình chứ có vết bóc sizi cũ da và dán sizi 38 khác vào để lừa khách hàng à lại phải bats lại cho người khác sợ shop luôn cái kiểu làm như vậy,1,
"sản phẩm chán thực sự
đi thì cứng như đá 
chất liệu mỏng
bạn nào mua thì nên cân nhắc",1,
Hàng bị lỗi keo nha mn vs lại đóng gói sơ sài lam kdkdkdkdkdkd.......,1,
"Bang size khác lắm
Thế là mik mua đúng đôi trật
Biểu shop đổi mak shop ko giúp
Biểu hộp đầy đủ mak ko thấy đâu cả",1,
