,khach_cmt,rating,shop_phan_hoi
0,mua nhiều đồ. tất cả đều ok trừ bộ này bị lỗi. chồng lỡ cắt mạc nên ko khiếu nại shop dc. trừ sao. mong sau shop kiểm hàng kĩ hơn nhé,3,
1,,3,
2,bộ bò sữa nhỏ hơn bộ khủng long mà mua cùng sz vs cả không có cái mac sz nx nói chung là bị nhầm sz S hay sao á 😦  bộ khủng long to cx ok chất có vẻ mỏng hơn những bộ trc mk mua hiccc ,4,
3,"Sản phẩm tốt

 nhưng mà rơi rộng 🥺😁😚",4,"không biết trong quá trình mua sắm có sai sót gì khiến bạn không hài lòng vậy ạ? Shop có chế độ bảo hành rõ ràng, nên bạn nhắn lại cho shop để được hưởng quyền lợi khi mua sắm nhé."
4,Bộ đồ này rất ấm và khi ngủ rất ngon nhưng hơi rụng long nhiều nhé,4,"Cảm ơn bạn đã tin tưởng ủng và hộ sản phẩm của shop. Bạn là khách hàng tuyệt vời, nhiệt tình thân thiện.
Shop sẽ nâng cao chất lượng sản phẩm để trải nghiệm mua hàng của bạn được tốt hơn."
5,Chất lượng rất ok và đẹp nhưng dép lúc di chuyển gây ra tiếng khiến mình khá là khó chịu,4,"Khách hàng thân thiện nhiệt tình và rất đáng yêu, cảm ơn bạn đã dành tình cảm cho Shop. Mong sẽ được phục vụ lần mua sắm tiếp theo của bạn ^^"
6,Chất liệu ổn,4,"Cảm ơn bạn đã tin tưởng ủng và hộ sản phẩm của shop. Bạn là khách hàng tuyệt vời, nhiệt tình thân thiện.
Shop sẽ nâng cao chất lượng sản phẩm để trải nghiệm mua hàng của bạn được tốt hơn."
7,Đóng gói và sản phẩm đều tốt nhưng giao hàng chậm,4,"Khách hàng thân thiện nhiệt tình và rất đáng yêu, cảm ơn bạn đã dành tình cảm cho Shop. Mong sẽ được phục vụ lần mua sắm tiếp theo của bạn ^^"
8,Đẹp,4,
9,,4,Khách hàng tuyệt vời nhất hệ mặt trời. Moaaaaazzz. Chúc bạn luôn vui vẻ nha
10,,4,"Cảm ơn bạn đã tin tưởng ủng và hộ sản phẩm của shop. Bạn là khách hàng tuyệt vời, nhiệt tình thân thiện.
Shop sẽ nâng cao chất lượng sản phẩm để trải nghiệm mua hàng của bạn được tốt hơn."
11,,4,"không biết trong quá trình mua sắm có sai sót gì khiến bạn không hài lòng vậy ạ? Shop có chế độ bảo hành rõ ràng, nên bạn nhắn lại cho shop để được hưởng quyền lợi khi mua sắm nhé."
12,,4,"Cảm ơn bạn đã tin tưởng ủng và hộ sản phẩm của shop. Bạn là khách hàng tuyệt vời, nhiệt tình thân thiện.
Shop sẽ nâng cao chất lượng sản phẩm để trải nghiệm mua hàng của bạn được tốt hơn."
13,,4,
14,,4,"Khách hàng thân thiện nhiệt tình và rất đáng yêu, cảm ơn bạn đã dành tình cảm cho Shop. Mong sẽ được phục vụ lần mua sắm tiếp theo của bạn ^^"
15,,4,
16,,4,
17,,4,"Khách hàng thân thiện nhiệt tình và rất đáng yêu, cảm ơn bạn đã dành tình cảm cho Shop. Mong sẽ được phục vụ lần mua sắm tiếp theo của bạn ^^"
18,"Đẹp lắm shop 😍😍,nhưng mà hơi mỏng nha shop ,nhưng bao có hơi rách",3,"không biết trong quá trình mua sắm có sai sót gì khiến bạn không hài lòng vậy ạ? Shop có chế độ bảo hành rõ ràng, nên bạn nhắn lại cho shop để được hưởng quyền lợi khi mua sắm nhé."
19,"Bộ đồ rát đẹp, nhưng chỉ thừa vải vụng ko đc làm sạch làm phải giặc cả buổi mới hết đc",3,"không biết trong quá trình mua sắm có sai sót gì khiến bạn không hài lòng vậy ạ? Shop có chế độ bảo hành rõ ràng, nên bạn nhắn lại cho shop để được hưởng quyền lợi khi mua sắm nhé."
20,"1m6 mặc size M lại thấy ngắn. 
..............................",3,"Khách hàng thân thiện nhiệt tình và rất đáng yêu, cảm ơn bạn đã dành tình cảm cho Shop. Mong sẽ được phục vụ lần mua sắm tiếp theo của bạn ^^"
21,Bộ khủng long hồng to quá cho 3 sao,3,"không biết trong quá trình mua sắm có sai sót gì khiến bạn không hài lòng vậy ạ? Shop có chế độ bảo hành rõ ràng, nên bạn nhắn lại cho shop để được hưởng quyền lợi khi mua sắm nhé."
22,Đặt 2 bộ mà gửi có 1 bộ,3,"Chào bạn, shop có gửi đủ cho bạn rồi mà. Nếu có khiếu nại khi nhận ko đủ sản phẩm bạn vui lòng chụp lại gói hàng gửi cho shop để shop hỗ trợ bạn nhé"
23,,3,"không biết trong quá trình mua sắm có sai sót gì khiến bạn không hài lòng vậy ạ? Shop có chế độ bảo hành rõ ràng, nên bạn nhắn lại cho shop để được hưởng quyền lợi khi mua sắm nhé."
