,khach_cmt,rating,shop_phan_hoi
0,"Shop giao nhầm size, chất lượng đẹp phù hợp với giá",4,
1,"Chất liệu tạm đc nhưng phù hợp với giá tiền, mà mình ko để ý sao phần khoét bỉm khá to 😅😅😅😅 mặc tầm này sun hết vào mất 😜😜😜",4,
2,"Sp hơi sai số, nhưng đã đc shopee hoàn tiền. Cám ơn !
Nhưng chất khá đẹp so với sp! Mọi ng nên mua.",4,
3,Sp tạm được so với giá tiền. Nhưng khs bị leak thông tin khách hàng+đơn hàng ra ngoài nên trước đó bị nhận 1 đơn giả mạo huhuhu,4,
4,Hinh ảnh klq n hàng cũg bt chưa j đã thấy sổ lôg.nc tiền nào của đó.,4,
5,"Nhìn hình thì 10 điểm, nhận hàng ngoài thực tế thì được 7 điểm thôi, tạm được, đánh giá 4 sao. Hình ảnh bên dưới.",4,
6,"Hàng giống hình nha. 

Hàng giống hình, ship từ trung quốc về việt nam nhưng cũng khá nhanh. Shop giao thiếu hàng cho mình. Báo shop thì shop có đưa mình voucher bằng giá bộ đồ đó. Có điều tiền ship thì mình chịu. Đồ đẹp. Video mình bận quá chưa quay, để tạm vid này.",4,
7,"Sản phẩm giống như hình, cơ mà phần đáy mình tưởng có cúc ai dè k có cúc, trống phần đáy nên chưa ưng lắm. chất vải như hình.",4,
8,"Đũng to quá nên trông k đẹp , mặc sợ con bị lạnh
Hình ảnh video mang tính chất nhận xu
Hsbsksnsmsbsjsjsbjxjdbdvdjzsn",4,
9,"Chất khá ok nha, giá tốt. Mà to quá nên mua đúng size cân nặng nhé vì dài to nha",4,
10,"Đặt 2 mẫu nhưng shop gửi sai 1 mẫu. Chất liệu vải hơi thô cứng, mặc ban đêm cho ấm chứ mặc ban ngày nóng nực lắm. Giao hàng nhanh",4,
11,Ổn theo giá . Có điều nó to chà bá . Cân nhắc size . Ewwwwwwwwwwww,4,
12,"Ao i love ba ba cũng đẹp, nhưng thấy thiết kế khoắc lỗ to bên dưới cũng hơi khó mặc. Đánh giá theo tiêu chí",4,
