,khach_cmt,rating,shop_phan_hoi
0,Giống ảnh minh hoạ tuy nhiên giá như vậy đòi hỏi cao thì ko đc hình in mờ vải mỏng nhưng em bé mau lớn mình nghĩ mặc vậy cũng tiết kiệm và hợp lí. Bán theo bộ quần y như nhau giờ có tới 4 cái quần giống nhau :)),4,
1,"Chát áo bình thường, hơi nóng
Phù hợp với giá tiền
Giao hàng nhanh",4,
2,"Shop giao hàng nhanh, sản phẩm hợp với giá tiền và màu mực in lên áo khá nhạt",4,
3,"Quần áo đẹp
Giao hàng nhanh
Nhưng có vẻ chất ko đc mát cho lắmnnm",4,
4,tiền nào của đó nha. Quần mỏng mát màu nhạt.,4,
5,Vải hơi mỏng hình in bằng màu vải nên hơi nhạt màu quần ngắn và hơi bó eo,4,
6,"Sản phẩm Oke, giao đúng size, đủ số lượng, giao hàng tương đối nhanh",4,
7,"Chất vải mỏng, nóng, màu k đẹp như trên này => giá tiền nó đi đôi với chất lượng :(. Sz áo k chuẩn, con mình gần 20kg nhg mặc sz 5 hơi bó vào người rồi",4,"dạ cảm ơn chị đã ủng hộ shop ạ. trộm vía chắc bé nhà mình bụ hơn các bạn nên mặc kích đó ạ. bé nhà e 20kg mặc vẫn hơi rộng xíu nè chị. vải bên em cam kết là cotton nhé, quần giả jean mềm mịn c giặt qua 1,2 lần sẽ thấy mềm và mát tay chị ạ."
8,chất ok nhưng áo ko giống hình nc là vẫn chấp nhận dc ,4,
9,"Tiền nào của nấy, nói chung là hình ảnh chỉ mang tính chất minh hoạ 😩",4,
10,Hàng cũng tạm dc,4,
11,"Hơi mỏng, áo trắng đẹp hơn áo màu",4,
12,"Hàng size ko đúng cái to, cái bé",4,
13,,4,
14,,4,
15,,4,
16,,4,
17,,4,
18,,4,
19,,4,
20,,4,
21,,4,
22,,4,
23,"Trên hình đẹp thật, thực tế thì cũng tạm, nói chung bộ này tiền nào của nấy",3,
24,"Sản phẩm thật khống giống hình đăng bán. hình in trên áo không đẹp, không nét",3,
25,Tạm,3,
26,Vải mỏng quá,3,
27,"Vải áo tạm, vải quần tệ. Áo bự hơn so với quần. Quần mặc vừa nhưng áo thì quá rộng.",3,
28,Vải thì ok nhưng chất lượng in lên vải xấu. Không như mong đợi,3,
29,"Mua quần xanh áo trắng, gửi quần xám áo xanh nhạt, màu in và màu vải quá nhạt, như đồ cũ. Thất vọng !!!",3,
30,Màu xanh cũng k đẹp. Nói chung thì so với giá thì k đòi hỏi nhiều đc. ,3,
31,Màu xỉn không giống trên shop!,3,
32,Vải mỏng,3,
33,,3,
34,,3,
35,,3,
36,,3,
37,,3,
38,,3,
39,,3,
40,"Đồ khác xa hình. Sz to, hình lem, dơ, giặt ko ra. Vải thưa, ko thấm mồ hôi.",1,
41,"Chất OK đồ giống ảnh nhưng áo có vết vàng vàng ở sau 
Quần thì dây bị bục",1,
42,Hàng không giống ảnh bị hjekkdkbfkfkmfmfmbdhsjdnnsndnndndndn,1,
43,"Chất liệu vải hàng chợ,hình in sử dụng hàng xuất nên rất dễ khách nhầm.",1,
44,Vải xấu,1,
45,,1,
46,,1,
47,Màu đỏ ko giống với hình . Chất lượng phản ánh đúng giá tiền . Áo rộng so với size,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
48,Sản phẩm tuyệt vời chất lượng tốt ship nhanh hành giá rẻ sẽ ủng hộ tuy nhiên áo hơi dài và màu kh tươi như hình,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
49,"Shop giao hàng hơi lâu, chất áo dày vừa phải nhưng vải khá thô, sờ vào k được mềm tay cho lắm, áo thì chỉ có 1 lớp thôi nên mặc sẽ k được ấm",4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
50,Ao vải dày mà nhỏ quá. From 19-23kg hơi nhỏ.mn có đặt thì đặt lớn hơn size là ok,4,Cảm ơn Mom đã tin tưởng ủng hộ. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành
51,"Bé nhà mình 24kg đặt size 24 -29 kg về chặt . Size quá nhỏ, các mẹ mua nhớ tăng thêm 2 zize nhé, ko bjk làm j cái áo đây hjhjhjhj . Hình ảnh video chỉ mang tính chất nhận xu",4,Chị inbox shop hỗ trợ mình đổi sz vừa hơn cho bé chị nha!
52,Hàng khá ok. Sẽ ủng hộ lần sau.,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
53,"Áo màu nhạt hơn hình mũ kh có dây , tạm đc",4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
54,Áo nên chọn rộng ra 1 size. Áo phù hợp với giá tiền. Vvjjjjjjnn,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
55,Hơi behsuhsjhxshuxusjuxusbdhegehhehhhheudjwuiuuxuhdsjdddjuw,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
56,Sản phẩm chất lượng khá tốt. Vải không quá dày. Có điều giao hàng lâu quá. Tuy nhiên Shop phản hồi thắc mắc khách hàng nhanh chóng nên trừ 1 sao vì giao lâu thôi,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
57,Chất lượng tương đương giá. Tag mac khác hình mẫu.,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
58,"Cảm ơn shop, mình đã nhận đc hàng, hàng đóng gói cẩn thận, giao hàng nhanh",4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
59,Áo mua lần này chất lượng kém hơn mình mua đợt trước shop ạ,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
60,"Màu thực tế nhạt hơn nhiều, ko tươi như ảnh. Đơn vị vận chuyển shopee rất chậm.",4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
61,"Áo mình đặt đỏ tươi mà ship về màu đỏ đô nên chưa hài lòng lắm, nhưng vẫn rất dễ thương 🥰",4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
62,Như này có phải áo nỉ ko nhưng cũng đẹp áo có hai lớp nên dày. Nói chung giống hình quảng cáo nhưng ko đẹp như hình quảng cáo tưởng tượng. Xin cảm ơn,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
63,Hàng như hình có điều giao lâu quá chờ dài cổ lun ấy shop ạ. 😅😅😅😅,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
64,Hình dán giống hình còn nhận chất vải áo ko giống hình ko fai đỏ như quảng cáo nói chung tạm được gchjbc,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
65,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
66,"Màu ko đc đỏ tươi như mẫu. Chắc do lúc chụp lên ánh sáng ảnh làm màu sắc áo khác hẳn ở ngoài. Đc cái chát nỉ, ấm.",4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
67,"Size áo nhỏ , con mình 23 kg cứ nghĩ áo rộng nhưng vừa zin,",4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
68,Chất lượng bt.k đẹp lắm.được cái shop làm ăn cũng uy tín.giao sai size cho mình nhưng cũng đã đổi lại size khách đặt.nhưng dù sao cũng k thích lắm vì tự nhiên mất thời gian và tiền cho khoản đi bưu điện gửi đồ.,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
69,Hàng mặc bị xổ lông,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
70,đặt màu đen nhưng giao màu đỏ,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
71,Chất lượng vừa bình thường giao hàng quá lâu.,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
72,Chất cũng ổn,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
73,Áo vừa và đẹp nhưng hàng về thì áo bị nhăn đùng,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
74,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
75,Hghhthiibfjttfffcvhjjjjjjnbvff,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
76,Hơi mỏng,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
77,Không thik lắm,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
78,Tạm đc,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
79,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
80,,4,
81,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
82,,4,
83,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
84,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
85,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
86,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
87,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
88,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
89,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
90,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
91,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
92,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
93,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
94,,4,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
95,,4,Cảm ơn Mom đã tin tưởng ủng hộ. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành
96,,4,
97,,4,Cảm ơn Mom đã tin tưởng ủng hộ. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành
98,,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
99,,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
100,,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
101,,4,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
102,"Sp cũng ok đúng màu đúng mẫu ,chất vải oke
Mình nhận hàng sau 1 tháng đặt :))
Sai lịch nhận tận 20 ngày 
Size áo hơi nhỏ so với số cân nặng",3,
103,"Đặt 3c cùng size, thì shop lại giao 2c cùng size, 1c size to hơn. Con mình k mặc đc. Vải cũng bth, chỉ đc lớp nỉ bên trong thôi, lớp Vải bên ngoài hơi thô.",3,
104,Khá đẹp giao hàng nhanh.. OK nhé......... Kích cỡ OK.......,3,
105,Áo chất xấu. K đẹp như trong hình. Mặc sẽ bí hơi. Hình nhất mang tính chất nhận xu,3,
106,Áo mỏng. Hàng khôg giống hình. Shop phục vụ kém. Không nên mua,3,
107,"Màu xấu, k được tươi kiểu như bị phai màu, nói chung xấu bsvhdhjdnfnkdkdhdhjrjrhjfiofofbvejrhhrjrkepoehgrhfbfbhfjrjjrujrjriowkkshsghrodkbdjdhkdkjr",3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
108,"Giao hàng cực nhanh, áo chất cũng bình thường ko dày. So với giá 139k thì có thể mua được áo dày hơn",3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
109,"Chất vải thô ráp, pha nhiều. Với giá như này mà nhận được chất vải này k phải là rẻ, mong shop cải thiện hơn về chất vải",3,"Dạ, đấy là hồ trên vải mớ đó chị, giặt 1 lần là nó trôi đi là mềm mịn ngay đó ạ. Cảm ơn ý kiến đóng góp của mom. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!"
110,"Hàng ko đúng mô tả màu sắc nhợt nhạc, chất vải cứng va thô, ko đáng tiền",3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
111,Àghjlotrwadguihgdsxvhkiteszcbjhfdcvjhgfcjgfchufxhiikhfsyijgcvbjydsfhihvxs,3,đơn hàng có vấn đề gì vậy ạ? Tại sao chị đánh giá shop em như vậy ạ?
112,"Nhận hàng nhưng không đúng với như shop giới thiệu, chất nỉ mỏng, màu cũng không như hình shop đưa lên màu đỏ nhìn đẹp, còn bên ngoài màu khác xa.",3,
113,Giao hàng lâu... chất lượng đi đôi với giá tiền.............,3,
114,"K đc ưng ý lắm vì mình ib shop k trả lời, chọn phân loại áo đen nhưng khi nhận đc áo lại có sọc",3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
115,"Không phải đỏ tươi,hình như lúc giao đỏ tươi,lúc đỏ đô sỉn  thì phải,đỏ này trông cũ,trc đặt cho cu anh đỏ tươi.định cho giống nhau.mà chán",3,
116,"Mua 2 áo cùng size mà cái này to đùng đoàng, bé 45kg mặc thùng thình .K mặc đc. K đáng bao nhiêu mất công trả hàng thôi bỏ đi 
Shop cần gửi đúng size k nên gửi bừa .
Mua 2 mặc đc 1 thôi. K đc hài lòng",3,
117,"Tớ cho 3 sao thôi. Vì ảnh khác áo nhận đc. Trong anh đậm hơn, nhìn dày hơn, ngoài mỏng hơn, mau đen bạc cái mũ màu hồng  rất nhạt chứ k như ảnh. K đẹp",3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
118,"Lớp lót lông bên trong bị rụng, bám đầy vào áo bên trong, bám vào da gây ngứa, trông bề ngoài khá ổn mà cơ bản là ko mặc đc, con zai mặc đc 1 bữa là ko chịu mặc nữa",3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
119,"Mua 1 size áo, gửi 1 cái lớn 1 cái nhỏ, chất liệu vải k đẹp",3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
120,"Sp tạm được. Nhưng sz áo bé quá so với số kg
Không hài lòng",3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
121,"Hàng không đẹp như hình, với giá này quá đắt.",3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
122,sản phẩm mỏng chất xấu,3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
123,Viền áo bên dưới k co dãn,3,
124,Hơn lâu màu áo không đẹp bằng trên hình,3,
125,OK,3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
126,,3,
127,Giao sai màu áo,3,
128,Chất liệu chấp nhận trong tầm giá,3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
129,"Áo mỏng, chất vải trung bình",3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
130,Áo hơi nhỏ không phải là do đặt sai,3,"Chị ơi shop rất xin lỗi vì sự cố này, chị vui lòng nhận tin nhắn  hỗ trợ của shop nha! "
131,Mỏng !,3,
132,Áo chất mỏng nhão nói chung là thất vọng,3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
133,Mua màu đỏ thì shop giao màu đen,3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
134,,3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
135,,3,
136,,3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
137,,3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
138,,3,Cảm ơn chị đã tin tưởng. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. Mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha
139,,3,Cảm ơn Mom đã tin tưởng ủng hộ. Shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành
140,,3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
141,,3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
142,,3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
143,,3,Cảm ơn Mom đã tin tưởng ủng hộ. Nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. Chúc chị 1 ngày tốt lành!
144,"Shop phục vụ hàng kém quá,đặt hàng size 14 màu đen size 12 màu đỏ,shop lại giao ngược lại mặc dù đã nt bảo shop lưu ý cho mà vẫn giao sai hàng",2,
145,Màu áo rất xấu. Chất cũng bình thường.màu áo bị phai. Mặc như áo cũ. Thất vọng,2,
146,Thời gian vận chuyển rất hợp lí. Tôi đã đặt hàng với tâm thế hào hứng chờ đợi để được trải nghiệm sản phẩm và tôi không hề bị chờ mỏi cổ.,2,"chị ơi, do ảnh hưởng dịch nên vận chuyển chậm ạ, Lỗi này do bên vận chuyển chứ có phải bên em đâu ạ, chị đánh giá em 2 sao vậy ạ?"
147,Đặt 2 chiếc 15-18kg nhưng lại về 1 cái to 1 cái bé. Chất vải 2 cái khác nhau.,2,
