,khach_cmt,rating,shop_phan_hoi
0,"Vải mịn sờ thích tay. Nhưng ko thích cái chữ in vào quần, nhìn xấu thực sự. Cái đó phải in riêng ra 1 miếng bìa hay vải chứ. Mặc đồ trong nhìn thấy hết. 
Shop phục vụ tốt, giao hàng nhanh",3,
1,Chất đẹp thât sự lun nhưng cạp thấp ai mà béo 60kg đổ lên nên suy nghĩ ạ t 61kg mặc cố thì đc nhưng hơi bé với cạp thấp bị hằn bụng. Shop báo sz L 60 đên 70kg nhưng thật sự thất vọng về sz,3,
2,Vì là k chọn đc màu nên mình đã ghi chú cho shop để lựa màu cho mình nhưng shop k đọc và gia về cho mìh cả 3 quần màu giống nhau,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
3,Sản phẩm quần nhỏ ok ah. Áo thì bị gãy ah,3,
4,"Shop CSKH tốt TUY NHIÊN khâu CHUẨN BỊ HÀNG VÀ GIAO CHO VC SIÊUUU LÂU. 
Hà Nội-Vĩnh phúc gần 10 ngày mới nhận được! Đây kpai do vc mà do bên shop thôi. 
Mình về quê nên còn chưa nhận được spham, phải nhờ bạn nhận hộ🙁🙁. K ngĩ bên shop làm việc mất thời gian nv 😌😌🙁🙁🙁",3,
5,"Hàng cũng tạm thôi, không hiểu sao khi giặt phơi lên xếp vào thì phát hiện 1 cái bị rách. Mong rằng shop kiểm tra cẩn thận hơn cho khách hàng chẳng lẽ có 1 cái mà đổi trả. ",3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
6,Size 50-60kg nhưng mk 54kg mặc vẫn hơi chật. Chất k đc mỏng như hình nhưng chất lụa khá mịn và thoải mái 😅 áo thì áo su mk k thúch lắm. Áo ren thì nhẹ nhàng thỏau mái hơn lại giá rẻ hơn nữa. Mk ưng lắm có tiền sẽ mua thêm :)))),3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
7,Quần lụa cũng khá được nhưng hơi dính mông :))) btw chất vải lụa rất đẹp và rất thoáng,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
8,"Quần ok còn áo khá mỏng, giao hàng quá lâu,",3,
9,,3,"Shop xin lỗi bạn nhiều về trải ngiệm mua hàng chưa tốt lần này ạ, có vấn đề gì bạn vui lòng inbox để shop hỗ trợ nhé"
10,ảnh với video không liên quan lắm nhưng ship nhanh mà cảm giác đợt 2 n to hơn đợt 1 hay sao ý😅,3,
11,"Ghi chú mỗi màu 1 cái mà shop lấy mỗi 1 màu , nên nhận hàng thực sự Ko hài lòng",3,
12,"Khá hài lòng, có phần đũng quần shop thay bằng chất vải mềm hơn thì sẽ ok hơn",3,
13,"Lần thứ 1 mua hàng thấy oke, lần này mua shop che ""nội dung hàng"" k khéo,thà đừng che còn hơn! nhờ người nhận hộ quá ngại vì cứ nghĩ shop che đi rồi.hic.",3,
14,Giá cao so với chất lượng sản phẩm,3,
15,,3,
16,áo bị móp ở đầu,3,
17,Quần bt,3,
18,,3,
19,,3,
20,,3,
21,,3,
22,,3,
23,,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
24,,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
25,,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
26,,3,"Shop đã liên hệ để tìm hiểu nguyên nhân bạn chưa hài lòng về sản phẩm, shop luôn lắng nghe ý kiến phản hồi và hỗ trợ khách hàng kịp thời, bạn vui lòng check inbox giúp shop nhé"
27,,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
28,,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
29,,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
30,,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
31,,3,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
32,Quần chất lượng. Thoáng mát. Ren mặc ko bị quăn hay ngứa. Chỉ có mỗi cái giao hàng bị lâu. Cùng ở HN mà hơn 10 ngày mới giao tới tay. Shop kêu gọi tổng đài bên vc hoặc hỗ trợ của shopee mà vẫn quá lâu đợi như hàng order.,2,
33,"Quần đẹp nhưng shop chăm sóc khách hàng kém, nhờ hối đơn thì lại bảo khách tự hối",2,"bạn ơi bên vận chuyển đang giao hàng trong khoảng thời gian quy định của shopee thì bạn bảo shop hối sao được, shop chỉ có thể phản ánh với shopee các đơn đã quá thời hạn giao hàng thôi. "
34,"Giao quá lâu, bớt dịch rồi mà còn lâu hơn trong dịch",2,"shop rất xin lỗi vì sự chậm trễ này, mong bạn hiểu giúp shop là  khi shop nhận đơn đã chuẩn bị và gửi đi rất nhanh, shop không tự vận chuyển nên không can thiệp vào tốc độ giao hàng được ạ"
35,Màu nhờ nhờ. Ko đẹp .,2,
36,,2,
37,"Màu đẹp,ship nhanh,nhưng độ dãn quần ít,ko hài lòng lắm
Đã chọn hơn 1 size nhưng vẫn bị chật",1,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
38,Quần bục cả zen khi mới mặc lần đầu tiên.chất lượng quá kém.mn k nên mua,1,"Mỗi đánh giá 5* là lời động viên to lớn đối với shop mình, cảm ơn bạn đã mua hàng và mình hi vọng sẽ được phục vụ bạn trong thời gian tới ạ"
39,"Đây là lần đầu tiên mình fback lại vì shop khẳng định có cam ghi lại khi đóng hàng mới tinh sạch sẽ! Không hiểu trong 2-3p đồng hồ từ khi nhận hàng đến khi phản hồi cho shop, mình rảnh quá nên đi vấy bẩn chắc.
Shop chặn mình, ok. Mình đã xem cam đóng hàng, quần có vết bẩn sẵn mà vẫn giao!",1,
40,Quần rách nhắn cho shop thì k nhận đc câu trả lời. Làm ăn lừa bịp,1,"Shop rất xin lỗi về việc rep tin chậm đã làm bạn hiểu lầm. Shop luôn có trách nhiệm trong trường hợp hàng lỗi hỏng, nhưng mong bạn bình tĩnh hơn trước khi đánh giá giúp shop nhé. Shop đã liên hệ lại với bạn để hỗ trợ về hàng hóa rồi ạ"
41,không có may dưới lớp lót giá cao so với chất lượng sản phẩm,1,"Quần có lớp lót ép nhiệt shop đã có mô tả bằng hình ảnh rõ ràng, bạn mua hàng nên đọc kỹ mô tả và xem ảnh chi tiết sản phẩm nhé. Nếu không ưng bạn có thể trả hàng lại shop sẽ hoàn tiền cho bạn ạ"
42,"Shop quá tào lao luôn, mình đã note rõ 5 cái 5 màu khác nhau và ghi rõ ra từng mãu vậy mà giao chung 1 màu 5 cái vậy nè. Mong được phản hồi và đổi lại nhé",1,"Shop có liên hệ với bạn để hỗ trợ đổi hàng, tuy nhiên shop rất mong bạn hiểu và thông cảm, vận đơn của shopee không hiển thị nội dung ghi chú nên shop chỉ đóng gói theo đơn, điều này shop cũng đã nói rõ trong mô tả sản phẩm ạ"
43,"Quần không co giãn tốt, mua theo shop mô tả mà bị chật không mặc được. Chán k muốn đổi lại",1,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
44,..............................................................................................................................;(6789990099988887654321223467890987653113456899,1,"Mình rất tiếc đã chưa làm bạn hài lòng trong lần mua hàng này.  Tuy nhiên shop cũng chưa nhận được phản hồi gì của bạn trong tin nhắn, rất mong bạn để lại ý kiến để shop có thể khắc phục và cải thiện các vấn đề mắc phải trong thời gian tới ạ."
45,"Shop ko hỗ trợ đổi hàng, size sản phẩm ko chuẩn, sẽ ko quay lại mua",1,"Shop trả lời tin nhắn của bạn rất rõ ràng, nếu shop giao đúng sản phẩm bạn đã đặt thì cần đổi hàng bạn tự chịu chi phí vận chuyển phát sinh, điều này shop cũng nói rõ trong mô tả sản phẩm. Bạn còn muốn được hỗ trợ đổi hàng miễn phí thì xin lỗi bạn shop không lãi cao thế để làm được điều này đâu ạ. Ngay cả bạn đi mua ở cửa hàng, siêu thị thì bạn muốn đổi cũng tự mang ra chứ cửa hàng, siêu thị cũng không thể gửi ship miễn phí đổi hàng cho bạn được. Bạn thông cảm cho shop nhé."
