,khach_cmt,rating,shop_phan_hoi
0,Áo vừa ngâm nước đã ra màu. Bỏ tí xà phòng nữa là đỏ thau nước. Chất lượng nhuộm k ổn. Chưa bao giờ phải đánh giá 3* như thế này.,3,
1,Áo đẹp mà hơi hôi,3,
2,Áo lên form đẹp chuẩn hợp đi chơi đi làm hơi mỏng nhưng ổn áp ảnh và video mang tính nhận xu là chính.,3,
3,Mọi người khi mua nên cân nhắc size. Mình cao 1m65 nặng 65k trước mua size Xl của shop mặc hơi chật lần này mua luôn Xxl mặc thoải mái hản. Áo vẫn bị lỗi như lần trước mất công sửa.,3,
4,"Nhắn shop lấy chồng mà vì shopee ko cho chọn 2 màu cùng lúc mà giao đúng 1 màu, chán",3,
5,"Chất vãi nhăn, kho ráp",3,
6,,3,
7,Chất lượng đường may ẩu. Form áo thì tạm đc. Nói chung với giá tiền này thì rẻ nhưng cũng ko nên may ẩu như vậy. Ko hài lòng lắm nên cho 3 sao,3,"URANO đã nhận được phản hồi đánh giá 3 sao, bên shop đã liên hệ đến anh và hỗ trợ anh nhưng có thể do anh bận nhiều công việc nên khi nhận được sản phẩm hỗ trợ mà quên mất đánh giá 5 sao ủng hộ Shop. URANO gửi tặng kèm anh VOUVHER mua hàng lần sau để anh trở thành khách hàng thân thiết ủng hộ shop và ủng hộ shop 5 sao nhé ạ"
8,"Chất vải này ngồi điều hòa thì k sao nhưng k có điều hòa sẽ nóng. Áo hơi bị chật nách, màu ghi mà như màu xanh.",3,
9,"Áo mỏng mặc hơi chật 
Nhưng đẹp lắm shop",3,
10,,3,
11,,3,
12,,3,
13,,3,
14,,3,
15,,3,
16,,3,
17,,3,
18,,3,
19,,3,"ÁO SƠ MI NAM CÔNG SỞ cảm ơn bạn đã ủng hộ! 
Nếu có bất cứ vấn đề gì xin vui lòng inbox shop để được hỗ trợ tốt nhất ạ. Shop rất mong nhận được ý kiến đánh giá từ khách hàng để có thể cải thiện chất lượng dịch vụ tốt hơn!"
20,,3,
21,mình thấy vs cái giá này thì không đòi hỏi gì thêm nhưng thật sự 3XL nó bé lắm:) mình mua sơ mi ở shop khác mua size L là đẹp r mà đây 3XL vẫn ngắn:) thôi không sao vì có 69k thôi nên không trách được coi như trải nghiệm =)))) à mà giao hàng lâu lắm nha,2,"URANO đã nhận được phản hồi đánh giá 2 sao, cũng như tin nhắn nhờ hỗ trợ từ anh chị, bên shop cũng đã liên hệ hỗ trợ anh chị về sản phẩm. Mong rằng khi anh chị nhận được sản phẩm mà shop gửi thì có thể ủng hộ shop bằng đánh giá 5 sao, anh chị cũng có thể theo dõi URANO để nhận được các khuyến mãi cho lần mua hàng sắp tới ạ"
22,Áo đc mà giao hàng gần cả tháng shop lên xem lại đơn vị vận chuyển,2,
23,Cùng là size L mà kích cỡ khác nhau. Mua 2 cái mà bị giờ chỉ mặc được 1 cái shop ơi,2,
24,"Shop chăm sóc khách hàng kém. Khách yêu cầu hủy đơn, shop tự ý từ chối Hủy đơn mặc dù đã nhắn tin trước đấy",2,
25,"Sản phẩm chất lượng kém. Size thì nhỏ so với bảng size ghi trên shop. Vải mỏng, chật nách, lười đổi trả phiền phức nên thôi nhận luôn.",2,
26,,2,"URANO đã nhận được phản hồi đánh giá 2 sao, cũng như tin nhắn nhờ hỗ trợ từ anh chị, bên shop cũng đã liên hệ hỗ trợ anh chị về sản phẩm. Mong rằng khi anh chị nhận được sản phẩm mà shop gửi thì có thể ủng hộ shop bằng đánh giá 5 sao, anh chị cũng có thể theo dõi URANO để nhận được các khuyến mãi cho lần mua hàng sắp tới ạ"
27,,2,"URANO đã nhận được phản hồi đánh giá 2 sao, cũng như tin nhắn nhờ hỗ trợ từ anh chị, bên shop cũng đã liên hệ hỗ trợ anh chị về sản phẩm. Mong rằng khi anh chị nhận được sản phẩm mà shop gửi thì có thể ủng hộ shop bằng đánh giá 5 sao, anh chị cũng có thể theo dõi URANO để nhận được các khuyến mãi cho lần mua hàng sắp tới ạ"
28,Shop làm ăn vớ vẩn đặt 2 size M mà giao cái L cái M. Mặc sao hả. Giao hàng cũng phải kiểm hàng trc khi hửi đi chứ.đọc cmt nhiều người bị như vậy chứ k riêng gì tui,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
29,"Sản phẩm tốt nhưng ghét thái độ của shop. 

P/s : chưa chụp đc áo nên mượn tạm ảnh hoa này để đánh giá .",1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
30,Hàng lỗi.... Đã yêu cầu trả hàng từ lâu nhưng vẫn chưa được đáp ứng,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
31,"Ước gì chưa từng gặp giỡ chưa từng mua hàng, thôi bai bai shop, tạp biệt và không gặp lại😌",1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
32,"Áo lỗi đủ kiểu, chỉ khâu nhăn nhúm, đúng là tiền nào của đấy.",1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
33,kích cỡ m của mình quá chợt may đo không chính xác,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
34,,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
35,áo ncc size L mà nhỏ hơn size S tôi đến chịu ảo thật đấy 1m45 45kg mặc còn k  vừa mà size L nhỏ hơn size S nữa,1,
36,Đặt áo như hình là tay dài mà giao đến là tay ngắn,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
37,Đặt áo sơ mi có cổ shop lại giao hàng không cổ. Giao hàng không đúng. Mọi ngưởi đừng mua shop này lừa đảo đó chỉ đáng 1sao thôi,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
38,Shop làm ăn như cc ý. Chả có tí nhiệt tình gì với khách .,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
39,Hai cái cũng size một cái vừa một cái không vừa,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
40,Chán,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
41,,1,
42,,1,
43,,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
44,,1,Shop rất tiếc sản phẩm bên mình chưa làm hài lòng bạn. Shop rất muốn trao đổi thêm với bạn về vấn đề này để bạn có trải nghiệm mua sắm tốt hơn. Vui lòng check inbox shop để shop hỗ trợ bạn tốt nhất ạ !
45,"Không biết là do from quần k phồng hay do mình béo quá nên nhìn k phồng. Nhưng mặc quần mẫu khác phồng lắm, hàng 1 lớp chất liệu cũng bình thường. K ưng ý lắm",3,
46,Quần mỏng có mỗi một lớp màu nâu cũng đẹp đẹp so với giá tiền thì v cũng ok,3,
47,Quần khá đẹp. Chất cũng ok. Nhưng mình đặt be vàng thì shop giao thành nâu chứ k phải be vàng.😥,3,
48,ncl chất mỏng lắm màu cx đẹp k đòi hỏi quá cao với cái giá như này,3,
49,"Quần vải mỏng nhưng với giá đó là hợp lí
Lần sau sẽ ủng hộ shop",3,
50,Quần vải bình thường làm j có được xoè như trong hình đâu.vải mỏng 1 lớp. Tạm được.,3,
51,,3,
52,Quần cũng ok mà phom xấu,3,
53,,3,
54,,3,
55,,3,
56,,2,
57,Căn cứ theo đơn hàng đây là phần quà tặng. Nhưng bị lừa không có nên cho 1 sao. Các bạn mua hàng lưu ý giúp,1,Shop xin lỗi vì đã làm bạn k hài lòng ạ. Mong b thông cảm và bỏ qua cho shop mình lần này nha. Hiện tại bên mình đang có chương trình mua sản phẩm tặng quà là dây cột tóc ạ. Khi b mua hàng bấm chọn quà trên sản phẩm giúp shop nha. Shop xin lỗi b nhiều nhiều lắm ạ
58,"Bán hàng có tâm chút nha shop, rách tùm lum mua về để lâu nhà ko mặc được , phí tiền tốn thời gian ,hy vọng bán cho người khác đừng như vậy",1,
59,"Áo mỏng , màu k giống hình tui mua màu wash ( nó màu đen nha méo phải xanh nha mấy ông ,so sánh ảnh tui chụp nha)
So với giá tiền thì cũng ok 
Shop trả lời thắc mắc khá nhanh
Giao hàng lâu",3,
60,Áo vãi thô nóng không có chất co giãn lên form không đẹp. Nếu mà không phải là local mà bán vải kiểu này thì chỉ đáng giá 50k. Mọi người nên cân nhắc trước khi mua,3,
61,Áo mình mua size M thấy rộng nhưng tay hơi ngắn chất bth ;ko mát lắm; cổ dễ dãn mua màu wash khó phối vs quần..áo siu dài.chữ in siêu to mà hơi thấp mình thôi nhỏ và cao hơn,3,
62,"Mình đặt một chiếc màu xanh size XL nhưng shop giao thành màu khác, mình định tặng làm quà sinh nhật mà lại bị thành màu khác như vậy",3,
63,Chất rất kém 😢😢😢😢😢quá là thất vọng-(((((((((((((((((((((??(hêhhehehejeejssbsbsb,3,
64,"Lần đầu mua mà cảm thấy thất vọng. Mua 2 cái ,cái thù cs tag nhìn cứ như mua hàng fake,cái thì mỏng màu k đẹp .",3,
65,"175k cho bé áo này thì hơi thất vọng. Vải mỏng hơn mình nghĩ, màu thì đẹp nhưng chất áo dễ xù lông, form cũng không đẹp lắm",3,
66,"Vải mỏng á, thấy áo trong nhưng không rõ lắm, bị 1 vết bẩn, hơi thất vọng",3,
67,Áo khá rộng ấy mng :v mình mặc lút mông chất áo thì tạm không đẹp và cảm giác mặc lên người hơi thô,3,
68,"Dưới cổ áo có những lỗ li ti và một ít chỉ thừa. Không được ""premium"" như tên sản phẩm.",3,
69,"Shop ở bên mình giao hàng nhanh, nhưng mà chất liệu áo hơi mỏng và ngắn",3,
70,Thất vọng về áo lần này thật sự. Mua tặng mà cũng đành chấp nhận.,3,
71,"-Hàng về chậm hơn dự kiến
-Chất vải hơi mỏng và hơi thô một xíu
-Áo dễ nát ko xứng với giá tiền cho lắm
Mọi người cân nhắc trước khi mua ạ!
Nabajskshsbahalakabbagsjs",3,
72,chat luong cung binh thuong te hon so voi minh nghi jsjdjđòkfk,3,
73,Lỡ đăth sz bự quá nhưng shop k hỗ trợ đổi hơi thất vọng ……,3,
74,"Mình k ngờ chất vải tệ như vậy ạ
Vải thô và mỏng mang bị lộ luôn ạ
Tay áo hơi ngắn
Không có giấy thơm
Hình ảnh vd chỉ mang tc nhận xu",3,
75,"vải quá mỏng thề luôn.. mình nhìn trên ảnh của shop cứ tưởng vải dày lắm cơ chứ nhưng không vải mỏng =))))) huhu thất vọng qua aaaaa, vid ảnh k liên quan tại vì mình luoi chụp 😀",3,
76,"Áo lúc mới nhận nhìn cũng ok mà mới giặt qua một lần mà bị giạc áo với phần cổ áo bị rộng ra, mua một lần mà k muốn quay lại mua nữa",3,
77,"Áo hơi nát, hình chữ in giặt dễ bị mất chữ tóm lại hơiii thất vọng :(",3,
78,"Đặt 3 áo mà 2 áo size s với size L thì nhìn như bị ố ,còn size M thì ok",3,
79,Không đẹp như mình nghĩ :(( màu như bị sờn cũ :(( chất vải mát :((,3,
80,"Mình khá thất vọng vì vải áo khá là mỏng 
Giao hàng lâu nữa",3,
81,"áo mới giặt một lần chưa gì đã bị giãn cổ áo rồi :((
..............",3,
82,"áo vải rất là mỏng , màu xấu không nên mua màu wash , nhận được hàng mở ra như đồ cũ vậy , nói thiệt là không khác gì cái nùi giẻ luôn , quá thất vọng",3,
83,"Vải áo không được đẹp so với mấy local brand sinh viên trước đây mình từng mua, cảm nhận nhiều nilon, k đc mịn màng. Chỗ tag ở cánh tay còn bị dơ, không có giấy thơm. Tuy nhiên cskh khá ổn.",3,
84,"Form tay áo xấu , dựng đứng như aoa đàn ông 




Già như thế số đo thời gian qua",3,
85,"màu cam lè cam lét lun á , vải nóng mà với giá này thì cũng tạm",3,
86,"Áo chỉ đc mẫu bề ngoài chất vải rất nóng kiểu là kh phải cotton 100% đâu
Mình mua màu đen giặt ra một thau nước như mực luôn í
Quá tệ",3,
87,"Hình in đẹp rõ nét 9,7/10
Vải ko phải 100%cotton như thông tin, vải hơi thô mới giặt lần đầu mà trông mất from quá,khá nhăn phải là qua thì mới mặc được",3,
88,"Áo giặt lần đầu bị phai màu, chất vải cứng ( không giống 100% cotton như shop quảng cáo ) còn lại thì OK!",3,
89,Giao hàng nhanh đóng gói đẹp nhưng chất vải xấu lắm mụi ng ơi. Đắt hơn ferow out nhưng mình thấy chất vải không bằng luôn í. Với màu này không giống hình cho lắm mn cân nhắc nha,3,
90,"Áo màu không như hình, chất vải mỏng hơi xù lông nhé dù chưa giặt",3,
91,"áo mỏng dính , form nhỏ lắm , kh ưng cho lắm . giao hàng nhanhhhhh",3,
92,shop gọi báo mình hết màu mình chọn mình vào hủy đơn nhưng shop vẫn giao cho mình màu khác,3,
93,"Sản phẩm đẹp mắt, sd êm, vải hơi mỏng nha không ưng phần chất liệu
Giao hàng nhanh, đầy đủ
Đóng gói sp gọn gàng chắc chắn
Còn phần mua lại thì cân nhắc lắm
Hình ảnh ko liên quan",3,
94,Màu không giống trên hình lắm vải tạm ổn,3,
95,"Áo bị bẩn , vải mát , size khá rộng",3,
96,"Áo đẹp mn ạ
Nên mua
Hình ảnh mang tính chất nhận xu",3,
97,Áo thì đẹp không có gì để nói nhưng mà hình như shop giao nhầm sz cho mình. Đặt sz L mà shop giao sz xl chán không muốn nói mặc như váy vậy,3,
98,"áo form cũng vừa, không quá to nên ai muốn mặc rộng thì có thể tăng lên 1 size, vải cũng mát nhưng hơi thô, áo có nhiều chỉ thừa, dù shop giao nhầm màu cho mình nhưng cũng có cách giải quyết và có thể thông cảm được.",3,
99,Mình thấy hình in ko đc đẹp và lên form khá nhỉ xíu luôn í chán teelab thật,3,
