khach_cmt,rating,shop_phan_hoi
"mua 4 cái rồi mới biết bị xù lông, cái đầu tiên cách đây 2 tháng giặt vài lần xù hết lên rồi.",1,nan
"vải khá ok nhưng quần không giống màu như hình, nó cứ ánh lên màu xanh than ý, chắc mua hàng rẻ nên vậy huhu",1,nan
"chăm sóc khách hàng phải nói là quá tệ từ khi biết mua hàng shopee chưa thấy shop nào như shop này.chuẩn bị hàng lâu,khâu vận chuyển cũng lâu.quần có vài chục mà cả nửa tháng mới nhận được.nhắn tin shop hỏi liên hệ bên vận chuyển thì shop bơ luôn.để cho khách hàng nói 1 mình, online nhưng nhắn tin 2 ngày không rep tin nhắn ",1,nan
"chất lượng vải lẫn đường may quá tệ. mỏng tanh, chỉ thừa thì tùm lum",1,nan
mặc 1 lần mà bị rút chỉ sau mông hết. chỉ tội ông chồng bị vợ cười chọc nguyên ngày. hình ảnh video chỉ mang tính chất nhận xu,1,nan
"treo đầu dê bán thịt chó, quần mỏng tanh nhìn thấy cả da  vải toàn nilon đường kẻ may chỉ nổi khác hoàn toàn so với ảnh. dùng 30k xu phí cả xu",1,nan
cập nhật lại chút về cái quần. năm ngoái mua ổn vải ok. năm nay mình mua mặc được 1 lần đã bị hỏng thế này rồi. không rõ shop đang làm gì nữa,1,nan
"hàng đúng mẫu, chất lượng vải không đẹp, may gia công bị nhăn, túi mỏng rách, như quần bà già chán đời, hoàn hàng mà không cho",1,nan
"hí hửng mặc quần vào cái rách đũng luôn, chịu đấy, từ sau chừa mua quần áo trên shopee, ham flash sale toàn trúng của ôi",1,nan
"vải mỏng mà xấu , không giống hình ảnh , tiền nào của nấy chán",1,nan
quần mỏng vãi nhái vải bên trong rối tùm lum một đống chỉ thừa chả hiểu sao gần 40k lượt mua gửi hàng thì rõ lâu thực sự không đáng tiền nên cân nhắc,1,nan
quần mua về bị lỗi vãi tùm lum,1,nan
bọc quần rách những vẫn bán cho khách hàng.,1,nan
quần không giống trong ảnh vải này phù hợp trời rét 3 sọc đen rất ngắn xấu,1,nan
hàng mới mua mặc 1 lần mà xước trầy. chất lượng vải quá kém,1,nan
"vải rất mỏng, mua về đúng là phí tiền, không thể mặc được, mọi người không nên mua nhé",1,nan
chất lượng sản phẩm rất kém may thì lỗi quần thì rách nhắn tin thì bên shop không hỗ trợ không trả lời,1,nan
"quần mỏng , may xấu, lấy quần size nhỏ gá mác tạm bợ lên dây quần, không đáng giá 8 chục vì còn kém hơn cả mấy cái quần 50k mua vệ đường",1,nan
"giao hàng không đúng mẫu , đặt nhầm sọc lên nhắn tin xin shop đổi sọc dùm ngay lập tức , nhưng shop không đổi, hình đăng quần bo ống, giao quần ống suông không bo, nhắn tin không phản hồi, sẽ không bao giờ mua lại , cho 1 sao là vì nếu không cho sao sẽ không đánh giá được",1,nan
bán sản phẩm lỗi cho khách hàng không thể chấp nhận được,1,nan
"đặt 2 cái giao 1 cái . khiếu nại thì nhân viên bảo giao đủ hàng, shiper báo shop không cho kiểm hàng kiểu giao xong kệ mẹ mày cạch mặt shop sale kiểu bố láo, làm ăn không có trách nhiệm",1,nan
"đặt 3 cái shop giao 2 cái, nhắn tin phản hồi thì shop nói giao đủ, nhắn thêm thì shop không thèm trả lời, shop còn ghi chú ở ngoài hộp là 2 cái thì sao bảo mình kiểm tra lại xem có nhầm không. cái quần không đáng bao nhiêu nhưng không hài lòng về cách cư xử của shop!",1,nan
chất lượng quá chán vừa mua mặc phát đã nứt như này rồi,1,nan
"quần rách, màu túi shop ưu ái cho tận 3 loại vải trông kinh vãi, thất vọng thật sự. cảm ơn shop đã gửi cho mình cái rẻ lau nhà",1,nan
"không hiểu quần có chữ này thì mặc như thêd nào luôn, lại còn mua tặng, chịu luôn ạ.",1,nan
quần rách như vậy mà giao cho khách. nhắn tin không trả lời. ,1,nan
"2 cái quần lỗi quá nhiều. đường chỉ bung tùm lum,dây quần thì cột lại mới ghê",1,nan
chưa gì đã đổ lông rất nhiều kém chất lượng rất không hài lòng với sản phẩm,1,nan
năm ngoái mua tầm 5 cái của shop mặc đến giờ vẫn ngon. năm nay mua sờ chất liệu không ngon. mặc được 1 lần đã bị thế này rồi. mong shop xem lại nguồn nhập của năm trước nhé,1,nan
"giao hàng bị xước, vải mỏng nếu không bị lỗi thì hợp giá tiền. nói chung là không hài lòng lắm",1,nan
"quần mỏng tang, chất bèo nhèo, 79k 1 chiếc giẻ lau nhà xứng đáng. mọi người đừng nên mua ạ lạy shop bán cho em lạy 1 vái",1,nan
thái độ shiper rất kém nói chuyện thì thái độ tự ý hủy đơn,1,nan
"trông nó chán, 1 lần và không bao giờ mua lại",1,nan
"hàng vậy không hiểu sao nhiều người rate 5 sao vậy, quần thì mỏng dính như nhìn xuyên qua được vậy",1,nan
"vải mỏng dính, mặc được 1 lần thì bục chỉ, đúng của rẻ là của ôi",1,nan
túi quần 2 bên không được sâu và không có khoá kéo 2 bên chỉ có túi sau là có khoá kéo.,1,nan
sản phẩm không như hình. nhắn tin không trả lời. làm ăn không uy tín . 1 sao cho chừa,1,nan
rất rởm đừng nhìn đánh giá hay bị lừa mỏng dáng form không giống hình,1,nan
"quần thì mỏng chân quần sao không có chun bó vô, thôi giá nào thì chất đó sau chế quần đùi mặc ok hơn",1,nan
"đặt hai quần xl mà nhận được một cái l,shop không kiểm tra kỹ hàng",1,nan
"quần chán đéo chịu được , rách hết . như kiểu bán đồ cũ cho người ta í . lần cuối bố mày mua ",1,nan
"quần rộng quá ,nhìn ở ngoài xấu hơn trong hình rất thất vọng",1,nan
"vải chạy chỉ, lỗi nhiều",1,nan
quần mỏng không bằng shop khác với cùng giá tiền,1,nan
shop ghi là 50-60kg mua size l nhưng mình 56kg mua size l quá rộng không mặc vừa,1,nan
hàng kém chất lượng về đường kim chỉ tối lấy hàng sáng hôm sau mặc được 1 buổi sáng thấy bục lúc nào không biết quần quá chán đường kim chỉ kém,1,nan
hàng sale có khác.đưa sản phẩm của hàng chợ vào để sale cho khách hàng .mặc hàng quá lệ 1 sao cho shop làm ăn không có tâm,1,nan
sản phẩm bị rách đũng lỗi bề mặt vải,1,nan
"quần thực sự đáng thất vọng, 87k mà chả khác gì cái giẻ lau. chừa không bao giờ mua ở đây nữa.",1,nan
"hàng sale mà đưa hàng chợ vào bán, làm ăn có tâm chúc",1,nan
ok shop,1,nan
sản phẩm thì may lỗi như vậy thì trả lời lâu cho 1 sao,1,nan
cảm ơn shop đã gửi cho mình cái rẻ lau nhà,1,nan
mỏng . quần này sẽ nên mua và mặc 1 lần thôi nhé .,1,nan
"đặt 1 sọc trắng 1 sọc đen mà ship 2 cái sọc đen , shop làm ăn cẩu thả",1,nan
quần không giống như hình. mua quần bo mà không thấy bo được tí nào,1,nan
hàng như cứt. giá không đáng là bao nhưng chất quá khác so với hình. không đáng mua,1,nan
"quần size m bé tí,k mặc được ạ, chồng e cao m 68, như quần nữ",1,nan
gần 80k/c nên đừng mong đợi gì nhiều về chất nhé mọi người. 1. giao hơn 1 tuần mới nhận được. 2. nhầm size 3. nhầm mẫu luôn mua cho chồng về mình mặc vừa  mình 47kg sẽ không mua lại.,1,nan
"bán đéo có tâm , mất tiền mà thấy không ưng ,nhắn tin thì thích rep không thích thôi , không muốn hoàn hàng",1,nan
"đơn đầu tiên shop giao nhầm size, mình vẫn hỗ trợ lấy sản phẩm giúp shop, và mình đặt đơn thứ 2 để được giao đúng size, shop bảo sẽ trả 15k trong kiện hàng nhưng rốt cuộc không có, thế là mình bị lừa chập 2. đặt lòng tin sai nơi nên bị lừa 2 lần, quá buồn cho một cuộc tình.",1,nan
vải không đẹp mỏng . trong hình là chun thun dưới chân ống quần. này nhận về chun vải luôn xỏ chân không vào phải đi cắt luôn mới mặc được ,1,nan
"quần như shit anh em ạ. vải thô cứng, 3 vạch in nổi giặt 3 bữa nát và đặc biệt là không có tí co giãn nào cái ống cứng đơ không cho được cái bàn chân qua luôn bỏ làm rẻ lau luôn rồi",1,nan
giao hàng thì tệ đặt size l thì giao cho xl shop này quá tệ,1,nan
mặc không được thoải mái. quần nam mà mặc như con gái. xỏ chân mãi mới lọt,1,nan
"mặc đúng 1 ngày bung chỉ tè le, rách lồi cái túi luôn, quá tệ",1,nan
"vải chất không co dãn tốt, ống quần quá hẹp, chất lượng thấp, không đúng như quảng cáo",1,nan
tôi huỷ đơn nhưng vẫn gửi hàng! hàng kém,1,nan
hàng đẹp ok ,1,nan
chán,1,nan
