khach_cmt,rating,shop_phan_hoi
"mua 4 cái rồi mới biết bị xù lông, cái đầu tiên cách đây 2 tháng giặt vài lần xù hết lên rồi.",1,
"vải khá ok nhưng quần không giống màu như hình, nó cứ ánh lên màu xanh than ý, chắc mua hàng rẻ nên vậy huhu",1,
"chăm sóc khách hàng phải nói là quá tệ từ khi biết mua hàng shopee chưa thấy shop nào như shop này.chuẩn bị hàng lâu,khâu vận chuyển cũng lâu.quần có vài chục mà cả nửa tháng mới nhận được.nhắn tin shop hỏi liên hệ bên vận chuyển thì shop bơ luôn.để cho khách hàng nói 1 mình, online nhưng nhắn tin 2 ngày không rep tin nhắn ",1,
"chất lượng vải lẫn đường may quá tệ. mỏng tanh, chỉ thừa thì tùm lum",1,
mặc 1 lần mà bị rút chỉ sau mông hết. chỉ tội ông chồng bị vợ cười chọc nguyên ngày. hình ảnh video chỉ mang tính chất nhận xu,1,
"treo đầu dê bán thịt chó, quần mỏng tanh nhìn thấy cả da  vải toàn nilon đường kẻ may chỉ nổi khác hoàn toàn so với ảnh. dùng 30k xu phí cả xu",1,
cập nhật lại chút về cái quần. năm ngoái mua ổn vải ok. năm nay mình mua mặc được 1 lần đã bị hỏng thế này rồi. không rõ shop đang làm gì nữa,1,
"hàng đúng mẫu, chất lượng vải không đẹp, may gia công bị nhăn, túi mỏng rách, như quần bà già chán đời, hoàn hàng mà không cho",1,
"hí hửng mặc quần vào cái rách đũng luôn, chịu đấy, từ sau chừa mua quần áo trên shopee, ham flash sale toàn trúng của ôi",1,
"vải mỏng mà xấu , không giống hình ảnh , tiền nào của nấy chán",1,
quần mỏng vãi nhái vải bên trong rối tùm lum một đống chỉ thừa chả hiểu sao gần 40k lượt mua gửi hàng thì rõ lâu thực sự không đáng tiền nên cân nhắc,1,
quần mua về bị lỗi vãi tùm lum,1,
bọc quần rách những vẫn bán cho khách hàng.,1,
quần không giống trong ảnh vải này phù hợp trời rét 3 sọc đen rất ngắn xấu,1,
hàng mới mua mặc 1 lần mà xước trầy. chất lượng vải quá kém,1,
"vải rất mỏng, mua về đúng là phí tiền, không thể mặc được, mọi người không nên mua nhé",1,
chất lượng sản phẩm rất kém may thì lỗi quần thì rách nhắn tin thì bên shop không hỗ trợ không trả lời,1,
"quần mỏng , may xấu, lấy quần size nhỏ gá mác tạm bợ lên dây quần, không đáng giá 8 chục vì còn kém hơn cả mấy cái quần 50k mua vệ đường",1,
"giao hàng không đúng mẫu , đặt nhầm sọc lên nhắn tin xin shop đổi sọc dùm ngay lập tức , nhưng shop không đổi, hình đăng quần bo ống, giao quần ống suông không bo, nhắn tin không phản hồi, sẽ không bao giờ mua lại , cho 1 sao là vì nếu không cho sao sẽ không đánh giá được",1,
bán sản phẩm lỗi cho khách hàng không thể chấp nhận được,1,
