khach_cmt,rating,shop_phan_hoi,,,,,,,,,,,,,,,,,,,,,,,
shop làm ăn không uy tín. Mình đổi từ size 27 lấy size 26 . Nhưng shop lại giao đến cho mình size 27,1,xin lỗi a vì vấn đề trên.bên size bé nhất là sz 27 rồi ạ! shop đã liên hệ và cho a hoàn trả hàng rồi. mong a sửa lại đánh giá tránh hiểu lầm cho các b ạ!,,,,,,,,,,,,,,,,,,,,,,,
Quần không đáng mua nha vải mỏng và hơi ỉ giống như bị thấm nước dị đấy,1,20we xin cảm ơn ban đã ủng hộ shop. shop cung lấy làm tiếc về vấn đề trên và shop cũng đã ib và gọi điện cho b để hỗ trợ bạn về đổi lại mẫu or hoàn tiền cho bạn nhưng bạn không đòng ý hợp tác.,,,,,,,,,,,,,,,,,,,,,,,
Đặt hàng thanh toán cả quần + áo mà shop ship mỗi quần. Cảm thấy không hài lòng với shop,1,20we xin cảm ơn ban đã ủng hộ shop. shop đã hoàn tiền lại sản phẩm bị thiếu cho b! nhung không hiẻu sao b không sửa lại đánh giá giúp shop.shop co gọi điện và nhắn tin nhung b lại chặn shop. mình hơi thất vong về b!,,,,,,,,,,,,,,,,,,,,,,,
"Mua 2 quần 1 áo, nhận hàng thanh toán đủ nhưng, lúc mở hàng thì không thấy áo đâu chỉ có 2 quần. Nhắn tin cho shop thì bảo để check hỏi lại 2 ngày rồi không thấy nói gì ?",1,20we xin cảm ơn b đã ủng hộ shop. shop đã lên đơn gửi lại thêm cho b thêm sản phẩm bị thiếu và đã có xác nhận bên giao hàng. rất xin lỗi bạn về sai sót trên.,,,,,,,,,,,,,,,,,,,,,,,
Shop giao nhầm hàng cho mình nhưng vẫn bắt mình trả ship,1,,,,,,,,,,,,,,,,,,,,,,,,
"Quần không đẹp, mua quần nam đi giao quần nữ vùng eo mặc chật ai mà có ta định mua nên bỏ ",1,,,,,,,,,,,,,,,,,,,,,,,,
"Shop tư vấn sai size cho khách hàng , trả hàng thì không hoàn tiền lại . Rất không hài lòng cho 1 sao ",1,bên e đã hoàn tiền chuyển khoản cho a rồi nhưng không hiểu sao a vẫn không thay đổi đánh giá giúp shop ạ.a làm vậy mấy uy tín quá ạ.,,,,,,,,,,,,,,,,,,,,,,,
Quần chất lượng kém không giống hình,1,"""20we.oficial cảm ơn bạn đã tin tưởng và sử dụng sản phẩm của shop. hi vọng rằng, shop sẽ có cơ hội được phục vụ bạn trong thời gian tới ạ . chúc bạn một ngày tốt lành và đừng quên ấn theo dõi 20we để không bỏ lỡ những ưu đãi hấp dẫn nhé ạ .""",,,,,,,,,,,,,,,,,,,,,,,
Không giống hình,1,,,,,,,,,,,,,,,,,,,,,,,,
"Shop làm ăn như q, đặt màu đen giao màu xanh.",1,,,,,,,,,,,,,,,,,,,,,,,,
Ổn,1,,,,,,,,,,,,,,,,,,,,,,,,
Shipper ăn của tao 50k mà tao đòi không trả,1,,,,,,,,,,,,,,,,,,,,,,,,
Đặt size 27 nhưng lại về size 31,1,,,,,,,,,,,,,,,,,,,,,,,,
Sao hàng sai ý mình lựa chon,1,shop xin cảm ơn đánh giá của khách yêu. cám ơn bạn đã tin tưởng sử dụng sản phẩm của shop. chúc bạn luôn vui vẻ và sẽ sớm tiếp tục ủng hộ shop ở các sản phẩm khác nhé!,,,,,,,,,,,,,,,,,,,,,,,
"Sản phẩm không đẹp như hình, màu đậm hơn xấu hơn",1,,,,,,,,,,,,,,,,,,,,,,,,
Quần xấu,1,,,,,,,,,,,,,,,,,,,,,,,,
Mua 3 cái khác nhau nhưng lại giao giống nhau hết,1,shop hỗ trợ nhiệt tình và đổi lại sz fre cho b. do thay đổi đánh giá 1 lần rồi nên không thế thay đổi dc nưa. rất mong các b cần hỗ trợ hay có vấn đề gì hãy ib cho shop trc nhe.,,,,,,,,,,,,,,,,,,,,,,,
Quần quá ngắn,1,,,,,,,,,,,,,,,,,,,,,,,,
Quần quá rộng ống thùng thình,1,mẫu bên e là ống suông rộng. có mô tả rất kỹ.các b không yên tâm hãy nhắn tin cho shop để được tư vấn kỹ hơn nhé để tránh hiểu nhầm ạ!,,,,,,,,,,,,,,,,,,,,,,,
Size không chuẩn,1,,,,,,,,,,,,,,,,,,,,,,,,
Khuyên mọi người không nên mua,1,20we xin cảm ơn ban đã ủng hộ shop. shop cung lấy làm tiếc về vấn đề trên và shop cũng đã ib và gọi điện cho b để hỗ trợ bạn về đổi lại mẫu or hoàn tiền cho bạn nhưng bạn không phản hồi.không hiểu b cố ý muốn phá shop hay sao ạ?,,,,,,,,,,,,,,,,,,,,,,,
Shop giao không đúng size,1,cảm ơn khách yêu đã tin tưởng và lựa chọn mua hàng tại shop. hãy ghé shop thường xuyên để trải nghiệm những sản phẩm và dịch vụ tuyệt vời nhất nhé. . chúng tôi luôn hy vọng được tiếp tục đồng hành cùng khách yêu trong tương lai.,,,,,,,,,,,,,,,,,,,,,,,
Quần như cái bao bố,1,,,,,,,,,,,,,,,,,,,,,,,,
