khach_cmt,rating,Unnamed: 2,shop,dvvc,sp
đáng đồng tiền lắm sản phẩm oke nên mua,5,,0,0,1
,5,,0,0,0
rất oke,5,,0,0,1
"không biết vì lý do gì đặt 4 tây 10 tây thì mới tới, hàng thì oke , hơi buồn xíu vì không thể mặc đúng ngày đi bơi ,nói chung hàng thì oke ",5,,0,1,1
"đồ đẹp lắm luôn nha, shop giao hàng nhanh sẽ ủng hộ shop, cho shop 5 sao",5,,0,1,1
"vải dày dặn, chắc chắn, thích lắm ạ. Quá chất lượng so với giá tiền nha",5,,0,0,1
"hàng đẹp lắm, mọi người nên mua. Chất lượng hơn so với giá tiền",5,,0,0,2
hàng đẹp lắm mọi người ạ,5,,0,0,1
"shop giao hàng nhanh, bộ đồ đẹp, nhưng quần hơi chật",5,,0,1,2
hàng như ảnh ,5,,0,0,1
bộ mặc được. quần lẻ mua thêm mặc chật rồi shop ơi ,5,,0,0,2
"giao hàng nhanh, vải hơi mỏng xíu. nhưng phù hợp giá thì rất oke",5,,0,1,1
"đã nhận được hàng, giao nhanh, vải mịn, mang lên đẹp. lần sau sẽ ủng hộ tiếp",5,,0,1,1
"vãi đẹp , nhưng bạn nào đùi to nên cân nhắc , đồ đẹp ",5,,0,0,1
đẹp đúng với miêu tả.giao hàng nhanh,5,,0,1,1
,5,,0,0,0
"hàng chất lượng oke, giao hàng nhanh trong vòng 2 ngày, đóng gói cẩn thận.",5,,0,1,1
thấy cũng oke.,5,,0,0,1
"vải đẹp, đáng tiền",5,,0,0,2
"vải đẹp. phù hợp giá tiền. giao hàng nhanh, đóng gói cẩn thận.",5,,0,1,1
đồng hồ đẹp,5,,0,0,1
"xinh mặc hợp , do mình mỡ cũng có nên mặc quần không đẹp",5,,0,0,2
"màu đẹp , đường kim mũi chỉ tốt",5,,0,0,1
"hàng đẹp lắm nha mọi người , nên mua , shop phục vụ rất rất nhiệt tình kiểm tra tin nhắn nhanh lắm ",5,,1,0,1
sản phẩm đẹp oke nên mua ạ ,5,,0,0,1
xuất sắc ,5,,0,0,1
