khach_cmt,rating,shop_phan_hoi,shop,dvvc,sp
hàng không giống màu trên hình,3,,0,0,1
quần không như hình,3,,0,0,2
tưởng ống rộng ai ngờ ôm chân,3,,0,0,2
chỗ cài cúc chưa thủng,3,,0,0,1
không có gì để nói,3,,0,0,0
size 29 to chà bá lửa,3,,0,0,3
ok,3,,0,0,0
quần ok nhá shop,3,"cảm ơn bạn đã phản hồi lại cho shop ạ. nếu sản phẩm của shop có vấn đề gì, bạn nhắn tin tới chúng tôi để phản hồi về vấn đề nhé. shop luôn sẵn sàng hỗ trợ bạn và cố gắng hoàn thiện sản phẩm hơn nữa để mang đến cho bạn những trải nghiệm tốt hơn.",0,0,2
dài và rộng quá,3,"cảm ơn bạn đã phản hồi lại cho shop ạ. nếu sản phẩm của shop có vấn đề gì, bạn nhắn tin tới chúng tôi để phản hồi về vấn đề nhé. shop luôn sẵn sàng hỗ trợ bạn và cố gắng hoàn thiện sản phẩm hơn nữa để mang đến cho bạn những trải nghiệm tốt hơn.",0,0,2
không ngờ là cái chữ trên quần nó lại lớn đến vậy huhuhu ,3,cám ơn anh/chị đã ủng hộ thời trang cao cấp hado . anh/chị nhớ bấm theo dõi shop để cập nhật những mẫu mới và nhiều ưu đãi hấp dẫn đến từ shop em nha. shop xin chúc anh/chị nhiều sức khoẻ và may mắn. thời trang cao cấp hado rất hân hạnh được phục vụ và hẹn gặp lại anh/chị vào đơn hàng lần sau ạ !,0,0,2
"mua lần đầu thì shop tư vấn đúng size về mặc đẹp lắm á lần 2 thì mình mua màu trắng xong nó bị chật hơi ( chất khác ) lần 3 thì shop tư vấn 1m5 37kg mặc size 27 được, quần về đến nơi thì rộng như thùng phi",3,cám ơn anh/chị đã ủng hộ thời trang cao cấp hado . anh/chị nhớ bấm theo dõi shop để cập nhật những mẫu mới và nhiều ưu đãi hấp dẫn đến từ shop em nha. shop xin chúc anh/chị nhiều sức khoẻ và may mắn. thời trang cao cấp hado rất hân hạnh được phục vụ và hẹn gặp lại anh/chị vào đơn hàng lần sau ạ !,0,0,2
