khach_cmt,rating,shop_phan_hoi,shop,dvvc,sản phẩm
quần vải bóng. mặc vài lần khả năng sẽ xùi lông. phù hợp giá tiền. mua mặc 1 mùa cũng ok,4,,0,0,2
"sản phẩm như hình. giao hàng nhanh. mình mua lần này là lần 2 rồi chất vải khá mỏng, video là quần mình mua lần đầu mua 4 cái thì 1 cái thì bị chỉ bung ra nhiều. nói chung tiền nào của đó í mọi người.",4,,0,1,2
"giao hàng nhanh, quần cũng ok, nói chung là nên mua nhé mọi người",4,,0,1,2
"chất liệu quần mỏng khá mỏng, mỏng như quần âu. co giãn nhẹ. gấu quần bo mà như không. mùa đông mặc sẽ bị lạnh. chất lượng vậy cũng tương xứng giá tiền.",4,,0,0,2
"hàng phù hợp với giá tiền, mỗi tội cùng xl mà cái rộng cái chật hơn. nhưng ok vẫn dùng tốt",4,,0,0,1
"sản phẩm thứ 2 mình ủng hộ shop, chi tiết bên ngoài không tồi nhưng lần này chỉ thừa tùm lùm làm mình chưa ưng ý hoàn toàn, mới nhận nên chưa đánh giá nhiều nhưng lần này đã khắc phục giao hàng nhanh và đường chỉ sọc, không cho 5 sao vì có vẻ vải mỏng hơn quần trước",4,,0,0,2
shop giao nhầm 1 mẫu quần. nên cho 4 sao thui. quần mặc khá vừa vặn. vài hơi mỏng. nói chung là cũng được.,4,,1,0,2
"vải mỏng , nhưng tiền nào thì của nấy thôi, đặt đơn 12/12, nhưng bên shope vẫn chưa duyệt, đến tận 17/12 mới duyệt đơn, bên vận chuyển thì giao nhanh",4,,1,1,1
"chất lượng sản phẩm rất rất ổn trong tầm giá, shop đóng gói cẩn thận nhưng hơi mỏng",4,,1,0,1
"mình đặt 2 cái xl thì chuyển 1 m, 1 xl, chán ghê. còn chất lượng thì ok",4,,1,0,2
"giao hàng nhanh, đóng gói cẩn thận. vải ok, phù hợp giá tiền",4,,1,1,1
"hình ảnh minh họa. quần mỏng, chất tạm được. form hơi rộng. nói chung tạm được",4,,0,0,2
"giao hàng nhanh đóng gói cẩn thận, mình đã mua của shop và quay lại mua lần 2.",4,,1,1,0
quần khá đẹp. mình mua rộng hơn một size cho dễ mặc. có điều vảo hơi mỏng,4,,0,0,2
hàng giống hình nhưng chất liệu không ưng lắm. giống đồng phục thể dục hơn.,4,,0,0,1
"shop giao hàng nhanh nhưng quần vải hơi mỏng không được dày dặn, áo thì ok",4,,0,1,1
"sản phẩm ok, chất lượng tuyệt vời, giá cả phải chăng, khỏi phải nói",4,,0,0,1
"quần chất vải dễ bám bụi, mình đặt 3 cái 3 mẫu khác nhau nhưng shop giao nhầm cho 2 cái giống nhau, thôi ngại đổi nên dùng tạm cũng được",4,,0,0,2
sản phẩm phù hợp với giá tiền hình ảnh chỉ mang tính chất nhận xu,4,,0,0,2
quần chất mỏng hơn lô trước mua hơi thất vọng nhưng tại mua quen bên shop nên. Không muốn đổi trả,4,,0,0,2
sản phẩm y hình. chất vải mỏng. phù hợp giá tiền. giao hàng nhanh.,4,,0,1,1
vải mặc 1 lần là sờm.chắc chắn là sẽ không mua lại.giá cả cũng không phải quá rẻ.nhưng chất lượng khá chán,4,,0,0,1
"giao hàng cũng nhanh, nhưng quần hơi mỏng không được dày dặn cho lắm,",4,,0,1,2
"chất vải cũng được, co giãn thoải mái nhưng form thì không chuẩn lắm. Chồng mình toàn mặc size l nhưng đặt l thì lại rộng quá.vote điểm cho giao hàng nhanh!",4,,0,1,1
"tạm ổn so với giá săn sale! nếu săn được giá thấp hơn nữa thì là ok so với giá, mình thấy cũng tạm ổn nhưng chồng mình không thích vì mỏng",4,,0,0,2
"quần đẹp, mải láng, mịn, không bị xù. hơi mỏng 1 chút nhưng vẫn ổn so với giá. quần không bị lỗi. giao hàng hơi chậm.",4,,0,1,2
chất lượng vãi hơi mỏng nhưng nói chung với giá này cũng tạm ổn. hình ảnh sao khi giao cũng giống vậy,4,,0,0,2
ship nhanh mua hộ nên không rõ chất lượng sản phẩm,4,,0,1,1
"giao hàng khá nhanh. sản phẩm đẹp, phù hợp với giá tiền",4,,0,1,1
sản phẩm tốt nhưng bị lỗi mà shop vẫn gửi cho mình hơi thất vọng,4,,1,0,2
quần mỏng phù hợp với giá tiền. nếu bạn nào cao và gầy muốn mặc rộng thì đo xem quần của mình rồi chọn theo chiều dài là được nhé…,4,,0,0,2
giao hàng nhanh từ hà nội về hải phòng trong 1 ngày chất liệu oke nhưng không giống trong ảnh,4,,0,1,1
"quần may trượt vải hơi nhiều shop ơi! giờ phải ngồi khâu lại, shop cố gắng để ý kiểm tra hàng nhé.",4,,1,0,2
hình ảnh mang tính chất nhận xu. chất lượng sản phẩm khá là ưng ý,4,,0,0,2
hàng hóa ok với mức giá. chỉ thừa còn nhiều nhưg chịu khó cắt vậy. vài đường mai bị rút chỉ phải may lại,4,,0,0,2
mặc vừa chất liệu hơi mỏng chút nhưng mà mặc trời mat nát thì ok,4,,0,0,1
"hàng giao đúng mẫu, vải hơi mỏng nhưng với giá tiền này thì chấp nhận được",4,,0,0,1
"vải đẹp, dày dặn. mặc vừa rất ok. giao hàng hơi lâu",4,,0,1,2
quần khá là đẹp nhưng hơi dài tiền nào của đó khá oke,4,,0,0,2
thun ok giản tốt mát nhưng khúc đầu gối bị xù không bị lỗi hay như thế nào nhưng vì đã từng sử dụng sản phẩm rồi khá hài lòng nên ủng hộ tiếp vơi lại mặt trong nhà cũng không quan trọng lắm,4,,0,0,2
"giao hàng nhanh vải dày, chỉ thừa rất nhiều, đường may không đẹp như lần trước mua.",4,,0,1,1
"quần ổn, ok so với giá. mặc nhanh bị xù nhưng mà giá thế thì ok, cũng là 2xl mà quần này bé hơn nhiều so với quần 3 sọc ngang",4,,0,0,2
"vải mỏng hơn mình nghĩ, sọc thun chứ không phải nhựa bóng . giá tiền đi đôi với chất lượng.",4,,0,0,1
quần phai màu shop ạ. Mình đã con nhỏ ngại giặt tay. mà giờ quần này lại không giặt máy chung được rồi. quần có đường sồi xước dài và lộ quá. shop lần sau để ý trước khi đóng gói hàng nhé,4,,0,0,2
giao hàng lâu quá. m77 73kg mặt vừa. vải thô hơi mỏng co giãn nhẹ,4,,0,1,1
"quần chẹt ống chân, không thể cho chân qua được lại phải cho bố mặc. kích cỡ lớn rồi mà không vừa",4,,0,0,2
"chất nhũn không đanh đường may không tạm được, chỉ thừa nhiều. shop giao hàng nhanh quần vừa vặn.",4,,0,1,2
dùng theo thời gian mới biết được sản phẩm như thế nào nhé các ban .không nên gửi hàng lỗi,4,,1,0,1
"vải mỏng mịn phù hợp mặc mùa hè , nhiều chỉ thừa .….",4,,0,0,1
"giao hàng nhanh, chất vải mỏng nhưng giá rẻ vậy nên mình cũng không ý kiến ",4,,0,1,1
"mặc vừa như in, mình m6 hơn mà vẫn vừa, quần mặc phù hợp chơi thể thao, hơi mỏng, phần cổ chân độ giãn ít bó chặt quá lúc mặc vào hơi khó, nói chung ổn khá ok rồi",4,,0,0,2
"đặt quần bo gửi mình quần không bo trừ 1 sao, tuy nhiên chất đẹp so với giá tiền! ",4,,1,0,2
"mua lần 2 lần đầu vải đẹp , lần này vải hơi mỏng so với đợt cũ hơi thất vọng hy vong làm vải như cũ sẽ ủng hộ thêm",4,,0,0,1
quần đặt 2 kiểu cùng size 1 cái vừa 1 cái rộng như bao tải ,4,,0,0,2
chất đẹp vì mua lần 2 nên không nhận xét cũng không kịp chụp ảnh. khá ưng thanks shop ,4,,0,0,1
hàng oki chất mịn hợp giá tiền hơi bó chân ống rộng chút nữa đẹp. hơi bó như con gái ,4,,0,0,2
"sản phẩm đẹp, vừa vặn, shop giao hàng nhanh, sẽ ủng hộ tiếp.",4,,0,1,2
"quần may có lỗi ở phần sọc quần, thiếu chỉ còn vải vóc và form ok tầm giá, có điểm cộng là giặt khá nhanh khổ",4,,0,0,2
"mua cái đầu chất đẹp cho 5* nên mình quay lại mua tiếp cái thứ 2 phân loại khác cơ mà chất vải khác, còn nhiều chỉ thừa, bị bục chỉ không như cái đầu tiên mua nên cho 4 sao nhé.",4,,0,0,1
về vải thì oki còn về thiết kế không giống với hình,4,,0,0,1
"quần mỏng, mặc nhà thì được chứ trời rét mặc ra ngoài trời không hợp",4,,0,0,2
"giao hàng nhanh, thân thiện nhưng quần hơi mỏng nên chưa chim ưng cho lắm",4,,0,1,2
quần khá mỏng,4,,0,0,2
.,4,,0,0,0
quần hơi mỏng nhưng so với giá tiền như này là ổn rồi đó mọi người ạ. chúc mọi người có những trải nghiệm thú vị với shop,4,,0,0,2
sản phẩm ok.! Nhân viên ship hàng xưng mày cho 4 sao shop để shop cho nhân viên ship chỉnh sửa,4,,0,1,1
