khach_cmt,rating,shop_phan_hoi,shop,dvvc,sản phẩm
quần bị lỗi vào bung chỉ,4,,0,0,2
tăng lên 1 size sẽ đẹp hơn,4,,0,0,2
hàng ok. ,4,,0,0,1
quần form nhỏ quá,4,,0,0,2
đặt 1 bo 1 suông mà lại gửi về cho 2 suông,4,,0,0,2
dài rộng quá,4,,0,0,2
dùng ok,4,,0,0,1
sản phẩm khá ok giao hàng nhanh,4,,0,1,1
hơi to xíu,4,,0,0,1
vải đẹp không tưởng luôn,4,,0,0,1
ok,4,,0,0,1
sảm phẩm khá đẹp,4,,0,0,2
chất vải đẹp quá tốt,4,,0,0,1
hơi ngắn so với size,4,,0,0,2
chất lượng ok,4,,0,0,1
vải hơi dễ xù,4,,0,0,1
hàng nhận được túi rách 1 chút nhưng ổn. hàng đẹp ,4,,0,0,1
"giao hàng lâu,nhắn tin thì trả lời hời hợt",4,,1,1,0
"chất vải nhanh xù ,mỏng nhưng nói chúng cũng ổn",4,,0,0,1
tạm được,4,,0,0,1
nói chung cũng tạm được,4,,0,0,22
không ưng ý lắm,4,,0,0,2
quần sịn lắm,4,,0,0,2
đẹp .ok tốt.,4,,0,0,1
like,4,,0,0,1
.,4,,0,0,1
hàng giao đúng mẫu đúng size,4,,1,0,0
khá ổn,4,,0,0,2
"sản phẩm ok, vì người lùn nên hơi dài",4,,0,0,2
ổn ,4,,0,0,2
hơi ngắn,4,,0,0,2
ok được,4,,0,0,2
giao hàng chậm,4,,0,1,0
hơi nhiều chỉ thừa,4,,0,0,1
gút chóp,4,,0,0,1
chưa mặc những khá ok,4,,0,0,1
quần hơi ngắn ,4,,0,0,2
sản phẩm mất mềm và thoáng rất đáng giá tiền giao hàng khá nhanh nhưng hàng bị thủng chắc do quá trình vận chuyển may không ảnh hưởng gì đến hàng nên chấp nhận được ạ…,4,"chào g*3, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc g*3 một ngày tốt lành! ",0,1,1
giao nhanh. hộp nhìn xấu quá. chất liệu vải chưa như kỳ vọng. cảm giác vài thô.,4,,0,1,1
khá êm nhưng mà mình nghĩ nên dài tí tại mình mình ship đùi quen rồi phần kia hơi ngắn nên nó bo vô như ship kia hơi khó chịu tí,4,"chào thnhbogaming, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc thnhbogaming một ngày tốt lành! ",0,1,0
"shop giao hàng nhanh hàng oke, đầy đủ nhờ shop che tên hộ, shop oke rồi mà shop không che",4,"chào chixinh, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc chixinh một ngày tốt lành! ",1,0,0
"quần mặc hơi chật so với size , được cái mặc thoáng dễ chịu , tạm",4,"chào 2uan.tue, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc 2uan.tue một ngày tốt lành! ",0,0,2
sản phẩm ok những hộp đựng không giống hình nhìn thấy ảnh quảng cáo có cả màu trắng nên mua mà không có không hài lòng,4,"chào jwvsjsbd, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc jwvsjsbd một ngày tốt lành! ",1,0,1
"giao hàng nhanh, đóng gói cẩn thận nhưng size bị nhỏ. nên mua tăng 1 size, em mình dáng khá chuẩn, 53 kg nhưng mặc lại chật",4,,0,1,1
chưa dùng chưa biết nhưng nhìn cũng ưng ạ. tạm được.,4,,0,0,2
