,khach_cmt,rating,shop_phan_hoi,shop,dvvc,sp,Unnamed: 2
0,"lần trước đặt hai chiếc quần lại giao một chiếc, buồn và chán shop, shipper thái độ với khách hàng nữa chứ",2,,0,1,2,
1,"quần mới mặc 1 tiếng bị sức dây tia rồi , vải mỏng dễ bị xước lắm nha mọi người, đừng nên mua, phí tiền",2,,0,0,2,
2,"quần ngủ nam mà lại 1 túi quần vải bóng màu tím, 1 túi vải thô màu ghi. may kiểu nhặt nhạnh à và định chơi đểu khách hàng, shop phục vụ kém",2,,1,0,2,
3,vừa giặt đã bị xù. Quần dễ bám bụi chất vải không đẹp. Quần này chỉ đáng 50.000đ mà thôi,2,,0,0,2,
4,chả hiểu quần áo có cái gì mà mang đi giặt xong tay bị ngứa rồi phồng rộp lên,2,,0,0,2,
5,"chỉ thừa nhiều, may ẩu , chất tạm ổn nhưng mà quần mỏng quá ,như đồ xuyên thấu á, ống bo mà chẳng co dãn tí nào so với giá thì tạm được",2,,1,0,2,
6,"quần size XL ghi cân nặng từ 63-69kg mà em mình nặng 62kg mặc chật không kéo lên nổi, chất mỏng không dày lắm mà còn bị vặn ống lệch đi ",2,,0,0,2,
7,"chất vải cũng bình thường nhưng bực mình nhất là túi quần may vải bị thiếu nên thành ra túi quần thủng, shop quá ẩu , chót bấm đã nhận được hàng rồi nên không đổi trả được. mẫu nhỏ nên lấy lên 1 size. giờ đành ngồi khâu tay cái túi quần vậy.",2,,1,0,2,
8,"hình ảnh và video chỉ mang tính chất nhận xu, quần mua về chồng mình không mặc được lúc mặc vào chỗ bo chân rất là khó vào mặc dù chồng mình nặng 68kg thôi , đường may không chắc chắn nhiều chỉ thừa",2,,1,0,2,
9,"chất lượng quần phù hợp với giá tiền ,giá cả hợp lý đóng gói hàng chắc chắn",2,,1,0,2,
10,"đặt sọc đen thì đi giao hẳn 2 sọc trắng, hết thì cũng nên báo cho khách biết, dây quần thì đứt còn đi cột lại sơ sài. shop quá tệ. may còn vớt lại được chất vải, mẫu quần không tới nỗi.",2,"xin lỗi anh chị về sự cố không mong muốn, có thể do ngày sale bên shop quá tải đơn nên các bạn nhân viên đóng hàng nhầm mẫu cho anh chị, sản phẩm nào có lỗi anh chị có thể chat với shop để shop hỗ trợ đổi hàng cho anh chị ạ",1,0,2,
11,giặt 1 lần bung hết chỉ ra . phải ngồi khâu lại cả cái quần,2,,0,0,2,
12,"chất vải quần ổn nhưng kiểm hàng không tốt quần rách đũng cũng đóng gói, không kiểm hàng trước khi giao cho khách gì hết vậy shop",2,,1,0,2,
13,"đóng gói sản phẩm cẩn thận , quần có nhiều chỉ thừa , túi may lỗi ủa màu này hợp với quần nam lắm ạ ",2,,1,0,2,
14,không hài lòng về sản phẩm quần này,2,,0,0,2,
15,"chân ống quần không mặc vừa,không đúng miêu tả",2,,0,0,2,
16,"quần thể thao chất lượng phù hợp giá tiền, cao cấp mà không cao tí nào cả.như hàng loại giá rẻ.chưa mặc đã xù",2,,0,0,2,
17,dáng ok nhưng chất vải rất nhanh bị xù. mặc 1 lần bị luôn (cả 2 quần),2,,0,0,2,
18,"chất lượng thấp hơn so với quần lần trước, vải khác cứng ráp hơn.",2,,0,0,2,
19,"chất lượng sản phẩm quần phù hợp với giá tiền,giao hàng nhanh nhưng không đúng hàng làm thất lạc hàng của khách lại còn nói dối nữa, gây bức xúc cho khách",2,,0,1,2,
20,tạm được quần mỏng chất vải tạm ổn quả ống bo chán luôn bo mà như không bo thôi không nên mua nhé phí của,2,,0,0,2,
21,vải quần xấu nên bị rách ngay lần mặc đầu tiên (ảnh nhận xu),2,,0,0,2,
22,nhìn cái quần hài không chịu được. như 1 cú lừa  hàng đến nơi ship còn chảnh méo giao hàng. ôm hàng 5 ngày. đến chịu cái đơn hàng này. đánh giá giao hàng 1/5 sao. đánh giá sản phẩm 4/5 sao. đánh giá phục vụ 5/5 sao.,2,,0,1,2,
23,chất lượng quần được so với giá tiền nhưng nhanh rách chồng em mặc 3 lần đã bị hở sịp vàng ươm ở trong rồi ạ,2,,0,0,2,
24,"giao hàng đến thấy có vết này trên quần, lấy dao cạy mãi chưa hết không biết vết gì. hàng rẻ tiền nên thôi không mặc được thì bỏ chứ biết làm sao",2,,0,0,2,
25,"shop làm ăn chán quá. đồng ý là giá rẻ nhưng cũng phải đàng hoàng. quần thì rách,chỉ thừa nhiều,khoá kéo thì may thưa như muốn sắp rách luôn. đợi hơn cả tuần mà nhận đồ như thế này thì thua.",2,,1,0,2,
26,"giá tiền rẻ nên độ hoàn thiện thấp, chất liệu quần thì mặc thoải mái",2,,0,0,2,
27,"quần chất thích cực kì nhưng chưa giặt đã xổ lông rất kinh, mà chỉ xổ 1 bên mới lạ  nhìn vào ban ngày rất rõ",2,,0,0,2,
28,giao sai sản phẩm .khiếu nại thì shop không nhắn tin .đặt 3 mẫu khác nhau mà giao có 2 mẫu .1 mẫu giao 2 chiếc quần y hệt nhau.Đánh giá cho shop 2 sao vì chất vải đẹp chứ cách phục vụ quá lâu và tồi,2,,1,1,2,
29,"quần rách một đường bên đùi,đường chỉ vài chổ may tạm bợ.",2,,1,0,2,
30,đặt quần sọc đen về sọc trắng,2,,0,0,2,
31,thời gian giao hàng quá lâu vượt quá nhiều so với hẹn. làm việc thiếu trách nhiệm hộp hàng rách móp méo,2,,1,1,0,
32,quần ống bó mà mặc như suông vậy shop ơi,2,,0,0,2,
33,"sản phẩm y hình, thế nhưng chất vải mỏng không dày dặn, dáng quần đủng hơi ngắn so với người mặc.",2,,0,0,2,
34,"mở ra xem cái quần mình đã đặt mà nhìn chán luôn, hối hận vì đã đặt niềm tin vào shop",2,,1,0,2,
35,tạm được chiều dài thì vừa chiều ngang hơi rộng quần không bó sát đúng như trong quảng cáo hơi rộng quá còn lại thì ok thôi cho 2 sao,2,,0,0,2,
36,quần mới mặc một lần mà đã bị như vậy,2,,0,0,2,
37,"giao hàng lâu, gặp được người giao hàng hãm hết chỗ nói thái độ cực kém  chất lượng quần rất ok",2,,0,1,2,
38,"quần quá nhỏ và ngắn so với size, mình nặng 73kg mặc quá chật, đành cho đứa em mặc",2,,0,0,2,
39,đặt 2 mẫu quần khác nhau . giao thành 1 mẫu 2 màu . làm ăn vô trách nhiệm,2,"anh đặt 2 mẫu anh phải chọn, hoặc không chọn được thì anh nhắn tin cho shop, anh đặt mẫu nào bên em gửi mẫu đó ạ",1,0,2,
40,mua lần thứ 2 . shop gửi 1 cái quần chất lượng giống lần trước . còn 1 cái xấu quá tệ . vải gì chắc chỉ để chùi chân . ,2,,0,0,2,
41,không nên mua quần ở shop này nhé.qua 1 lần giặt vải xơ nhìn chán luôn,2,,0,0,2,
42,không ok vì dây chun quần buộc bị bung,2,,0,0,2,
43,,2,,0,0,0,
44,chất vải quần mỏng,2,,0,0,2,
45,"thất vọng về sản phẩm quần bung chỉ nhiều quá, do shop may ẩu",2,,1,0,2,
46,"sản phẩm không đồng nhất , lỗi ở túi quần",2,,0,0,2,
47,đặt quần size L giao size M,2,,0,0,2,
48,quần mỏng và không giống như ảnh ,2,,0,0,2,
49,vải như quần thể dục. bình thường. không đẹp.,2,,0,0,2,
50,chất quần mỏng không như các lần trước mua,2,,0,0,2,
51,tiền nào của nấy,2,,0,0,0,
52,quần mới mặc đã rách đằng sau cả 2 cái,2,"quần nào mới mặc đã rách vậy chị, chị có thể nhắn tin bên em hỗ trợ đổi hàng cho anh chị, có thể bị bật chỉ chứ không phải rách chị nhé",0,0,2,
53,chán cách phục vụ của shop,2,,1,0,0,
54,"đặt 2 cái quần size XL mà giao 1 cái là XL còn 1 cái là L, như vậy là sao.",2,,0,0,2,
55,"đặt quần sọc đen bo, giao sọc đen suông, chán shop",2,,0,0,2,
56,quần rách hết chỉ 2 bên,2,,0,0,2,
57,quần mặc 1 lần đã tuột chỉ . hơi mỏng . ,2,,0,0,2,
58,mua quần size to mà mang nhỏ quá không vừa gì hết,2,,0,0,2,
59,sản phẩm quần không giống mô tả,2,,0,0,2,
60,"shop giao nhầm hàng ạ, thái độ shipper tiêu cực",2,,1,1,0,
61,quần không ổn,2,,0,0,2,
62,dây quần cắt lệch,2,,0,0,2,
